产品网址：http://www.lichiwei.com/product.php?id=18
产品结构：您现在的位置：首页->产品中心->锂电池管理芯片->模拟前端采集芯片

|产品名称|产品型号|功能描述|
|----|----|----|
|模拟前端采集芯片|无|无|

型号,精度,时钟频率,电池串数,电池电压精度,满量程误差,工作电流,待机电流,输入共模范围,ADC输入电压范围,封装形式
MT7280,12Bit,1MHz,6,±1.6mV,±10mV,4.5-6.6mA,20-30uA,0.5V~27.5V,0~5V,CQFP44
MT9803,12Bit,1MHz,12,±1.5mV,±15mV,0.8-1.1mA,10-35uA,0~60V,0~5V,LQFP48
MT9813,12Bit,1MHz,18,±1.5mV,±15mV,0.8-1.1mA,10-35uA,0~90V,0~5V,LQFP64
MT9804,16Bit,3.3MHz,12,±100uV,±2.2mV,10.5-12.0mA,10uA,0~60V,0~5V,LQFP48
MT9811,16Bit,3.3MHz,12,±100uV,±2.2mV,10.5-12.0mA,10uA,0~60V,0~5V,LQFP48
MT9805,16Bit,3.3MHz,18,±100uV,±2.2mV,13-16.0mA,10uA,0~90V,0~5V,LQFP64
MT9818,14Bit,512KHz,18,±400uV,±20mV,200-350uA,10-16uA,0~90V,0~5V,LQFP48
MT9816,12Bit,512KHz,16,±1.25mV,±25mV,80-120uA,10-16uA,0~72V,0.7V~4.5V,SSP28
MT98003,14Bit,512KHz,3~5,±400uV,±20mV,80-120uA,10-16uA,0~25V,0~5V,QFN28
MT98006,14Bit,512KHz,6~10,±400uV,±20mV,80-120uA,10-16uA,0~50V,0~5V,QFN28
