产品网址：https://www.toll-semi.com/news-product?page=1
产品结构：root->产品知识-拓尔微

|产品名称|产品型号|功能描述|
|--|--|--|
|2*3W 双通道 D 类立体声功放|TMS8203E/8201E|消除 Pop，精准调音，提升音响效果|
|汽车 DVR 摄像头 TOLL 解决方案|无|助力汽车行车记录仪记录更清晰影像|
|汽车车窗 TOLL 解决方案|无|助力汽车车窗智能升降|
|支持 PD3.1 的协议芯片|IM2413|实时动态智能功率分配，A/C 独立环路控制、芯片内置 FB 直驱电路|
|降压 LED 驱动|TMI5302|0.5%超高调光精度、99%最大占空比，新颖的斩波放大技术实现细腻丝滑的灯效满足高速视觉捕捉|
|时间数字转换器|TMIS7701/7702|高分辨率、高精度、低温漂、低功耗|
|同步降压 DCDC 转换器|TMI3256B|小封装、动态响应快、低纹波、高效率、高功率密度|
|直流有刷马达驱动|TMI8270|集成过流保护功能，驱动能力强，持续电流能力可达 6A，峰值电流可达 12A|
|同步降压转换器|STI8070X 系列|COT 架构，快速动态响应、大电流、高效率，I2C 通讯使输出更加精确可控|
|DDR 终端稳压器|TMI62033|具备 3A 的拉灌电流能力，更快的瞬态响应速度，改善数据传输质量，内置 PG 及多种保护功能|
