产品网址：https://www.hikmicrotech.com/en/explore/outdoor-nature-blog/products-review-fq25
产品结构：root->Review:FALCONFQ25,theBestThermalMonocularforWildlifeObservation

|产品名称|产品型号|功能描述|
|--|--|--|
|Thermal Monocular|LYNX 2.0|无|
|Thermal Monocular|LYNX S|无|
|Thermal Monocular|LYNX Pro|无|
|Thermal Monocular|FALCON|无|
|Thermal Monocular|CONDOR|无|
|Thermal Monocular|OWL|无|
|Thermal Scope|STELLAR 2.0|无|
|Thermal Scope|THUNDER ZOOM 2.0|无|
|Thermal Scope|PANTHER 2.0|无|
|Thermal Scope|THUNDER 2.0|无|
|Thermal Scope|STELLAR|无|
|Thermal Scope|PANTHER|无|
|Thermal Scope|THUNDER Pro|无|
|Thermal Scope|THUNDER|无|
|Thermal Clip-On|THUNDER 2.0|无|
|Thermal Clip-On|THUNDER Pro|无|
|Thermal Camera for Smartphones|EXPLORER|无|
|Digital Day&Night Vision Monocular|HEIMDAL|无|
|Digital Day&Night Vision Scope|ALPEX 4K|无|
|Digital Day&Night Vision Scope|ALPEX|无|
|Digital Day&Night Vision Scope|CHEETAH|无|
|Digital Day&Night Vision Clip-On|CHEETAH|无|
|Multi-Spectrum Monocular|GRYPHON LRF|无|
|Multi-Spectrum Binocular|HABROK 4K|无|
|Multi-Spectrum Binocular|HABROK|无|
|Multi-Spectrum Binocular|RAPTOR|无|
|Trail Camera|M15|无|
|Application|HIKMICRO Sight|无|
|IR Torch|IR Torch|无|
|IR Torch Bracket|IR Torch Bracket|无|
|Rail|Rail|无|
|Ring|Ring|无|
|Adapter|THUNDER 2.0 Adapter|无|
|Eyepiece|THUNDER 2.0 Eyepiece|无|
|Charger|THUNDER 2.0 Charger|无|
|Battery|THUNDER 2.0 Battery|无|
|Monocular Pouch|Monocular Pouch|无|
|Trail Camera Accessories|Solar Panel|无|
|Handheld|Mini2|无|
|Handheld|Mini2Plus|无|
|Handheld|Mini3|无|
|Handheld|Eco & Eco-V|无|
|Handheld|PocketE|无|
|Handheld|B Series|无|
|Handheld|Pocket1 & Pocket2|无|
|Handheld|M Series|无|
|Handheld|G Series|无|
|Handheld|Gx1 Series|无|
|Handheld|SP Series|无|
|Acoustic|AI56 & AI76|无|
|Acoustic|AD21|无|
|Firefighting|FB21|无|
|Firefighting|FT31|无|
|Intrinsically Safe|BX20|无|
|Fixed|Cube Cameras|无|
|Fixed|Box Cameras|无|
|Fixed|Auto-focus Box Camera|无|
|Fixed|High Temperature Box Cameras|无|
|Fixed|Heat-resistant Cameras|无|
|Software|HIKMICRO Viewer|无|
|Software|HIKMICRO Analyzer|无|
|Software|HIKMICRO Studio|无|
|Software|Spot Size Calculator|无|
|Software|UVC Client|无|
|Accessories|Pouches|E/B Series|
|Accessories|Pouches|M/G/SP Series|
|Accessories|Lenses|B Series|
|Accessories|Lenses|Pocket Series|
|Accessories|Lenses|G Series|
|Accessories|Lenses|Gx1 Series|
|Accessories|Lenses|SP Series|
|Accessories|Batteries|M Series|
|Accessories|Batteries|G Series|
|Accessories|Batteries|SP Series|
|Accessories|Chargers|M Series|
|Accessories|Chargers|G Series|
|Accessories|Chargers|SP Series|
|Accessories|Brackets|Mini/Pocket Brackets|
|Accessories|Brackets|SP Series Brackets|
|Accessories|Sun Shield|G Series|





