产品网址：https://www.hikmicrotech.com/en/outdoor-products/panther-lrf-thermal-scope
产品结构：HM-TR23-35XG->W-PH35L->Datasheet->en-US->20220613.pdfMay29,2024HM-TR23-50XG->W-PH50L->Datasheet->en-US->20220613.pdfMay29,2024HM-TR26-35XG->W-PQ35L->Datasheet->en-US->20220615.pdfMay29,2024HM-TR26-50XG->W-PQ50L->Datasheet->en-US->20220613.pdfMay29,2024

|产品名称|产品型号|功能描述|
|--|--|--|
|THERMAL MONOCULAR|LYNX 2.0|无|
|THERMAL MONOCULAR|LYNX S|无|
|THERMAL MONOCULAR|LYNX Pro|无|
|THERMAL MONOCULAR|FALCON|无|
|THERMAL MONOCULAR|CONDOR|无|
|THERMAL MONOCULAR|OWL|无|
|THERMAL SCOPE|STELLAR 2.0|无|
|THERMAL SCOPE|THUNDER ZOOM 2.0|无|
|THERMAL SCOPE|PANTHER 2.0|无|
|THERMAL SCOPE|THUNDER 2.0|无|
|THERMAL SCOPE|STELLAR|无|
|THERMAL SCOPE|PANTHER|无|
|THERMAL SCOPE|THUNDER Pro|无|
|THERMAL CLIP-ON|THUNDER 2.0|无|
|THERMAL CLIP-ON|THUNDER Pro|无|
|THERMAL CAMERA FOR SMARTPHONES|EXPLORER|无|
|DIGITAL DAY&NIGHT VISION MONOCULAR|HEIMDAL|无|
|DIGITAL DAY&NIGHT VISION SCOPE|ALPEX 4K|无|
|DIGITAL DAY&NIGHT VISION SCOPE|ALPEX|无|
|DIGITAL DAY&NIGHT VISION SCOPE|CHEETAH|无|
|MULTI-SPECTRUM MONOCULAR|GRYPHON LRF|无|
|MULTI-SPECTRUM BINOCULAR|HABROK 4K|无|
|MULTI-SPECTRUM BINOCULAR|HABROK|无|
|MULTI-SPECTRUM BINOCULAR|RAPTOR|无|
|TRAIL CAMERA|M15|无|
|HANDHELD|Mini2|无|
|HANDHELD|Mini2Plus|无|
|HANDHELD|Mini3|无|
|HANDHELD|Eco & Eco-V|无|
|HANDHELD|PocketE|无|
|HANDHELD|B Series|无|
|HANDHELD|Pocket1 & Pocket2|无|
|HANDHELD|M Series|无|
|HANDHELD|G Series|无|
|HANDHELD|Gx1 Series|无|
|HANDHELD|SP Series|无|
|ACOUSTIC|AI56 & AI76|无|
|ACOUSTIC|AD21|无|
|FIREFIGHTING|FB21|无|
|FIREFIGHTING|FT31|无|
|INTRINSICALLY SAFE|BX20|无|
|FIXED|Cube Cameras|无|
|FIXED|Box Cameras|无|
|FIXED|Auto-focus Box Camera|无|
|FIXED|High Temperature Box Cameras|无|
|FIXED|Heat-resistant Cameras|无|
|SOFTWARE|HIKMICRO Viewer|无|
|SOFTWARE|HIKMICRO Analyzer|无|
|SOFTWARE|HIKMICRO Studio|无|
|SOFTWARE|Spot Size Calculator|无|
|SOFTWARE|UVC Client|无|
|ACCESSORIES|IR Torch|无|
|ACCESSORIES|IR Torch Bracket|无|
|ACCESSORIES|Rail|无|
|ACCESSORIES|Ring|无|
|ACCESSORIES|Adapter|无|
|ACCESSORIES|Eyepiece|无|
|ACCESSORIES|Charger|无|
|ACCESSORIES|Battery|无|
|ACCESSORIES|Monocular Pouch|无|
|ACCESSORIES|Trail Camera Accessories|无|
|THERMAL MONOCULAR|PANTHER LRF|内置激光测距仪，可精确测量距离；采用先进的成像传感器和大焦距物镜，提供令人难以置信的探测能力，可在 2600 米的距离内探测到 1.7 米的目标；采用一体式设计，结构紧凑合理，操作体验便捷；金属外壳坚固耐用，可承受高达 750g/ms 的高冲击；IP67 防水等级，可在 1 米深的水中浸泡 30 分钟；配备两块可更换和充电的电池，以及 HIKMICRO 外部电池充电器，可满足长时间观察需求|
