产品网址：http://www.bjclkdkj.com/ProductsStd_341.html
产品结构：root->全自动在线真空焊接系统KD-V200-北京诚恺联达

|产品名称|产品型号|功能描述|
|----|----|----|
|全自动在线真空焊接系统|KD-V200|焊接面积 350*400MM，单仓、双仓、三仓、四仓；极限真空度 10Pa，横向温差 ±1%，甲酸+氮气，还原保护气体，西门子 PLC 控制系统，自动化生产焊接配置，可连接 IGBT 芯片贴片机，缩短焊接周期，减少人工操作|

基本参数,Unnamed: 1,KD-V200,KD-V300,KD-V300.1
基本参数,外观尺寸(LxWxH),1950 x 1800 x 1700 mm,2400 x 1800 x 1700 mm,2400 x 1800 x 1700 mm
基本参数,重 量,约 800 kg,约 900 kg,约 900 kg
基本参数,低 真 空,1Pa 高真空选配,1Pa 高真空选配,1Pa 高真空选配
基本参数,真空仓,2个 加热仓1个、冷却仓1个,2个 预热仓1个 加热仓1个、冷却仓1个,2个 预热仓1个 加热仓1个、冷却仓1个
基本参数,有效焊接面积,400x 350 mm,400x 350 mm,400x 350 mm
基本参数,炉膛高度,100mm,100mm,100mm
基本参数,温度范围,最高可达450°C,最高可达450°C,最高可达450°C
基本参数,平台升温速率,最高3℃/S （独立真空加热平台）,最高3℃/S （独立真空加热平台）,最高3℃/S （独立真空加热平台）
基本参数,降温速率,最高6℃/S；（独立水冷平台）舱体配置整体冷却水循环,最高6℃/S；（独立水冷平台）舱体配置整体冷却水循环,最高6℃/S；（独立水冷平台）舱体配置整体冷却水循环
基本参数,横向温差,±3℃,±3℃,±3℃
基本参数,焊接运行周期,8-10min,6-8min,6-8min
基本参数,平台承重,15KG,15KG,15KG
基本参数,功 率,最大功率：24KW 工作功率：6-8KW,最大功率：28KW 工作功率：8-10KW,最大功率：28KW 工作功率：8-10KW
基本参数,加热平台,紫铜加特殊处理,紫铜加特殊处理,紫铜加特殊处理
基本参数,电源标准,"380V, 50HZ/60HZ，三相五线制、10平方铜线","380V, 50HZ/60HZ，三相五线制、10平方铜线","380V, 50HZ/60HZ，三相五线制、10平方铜线"
基本参数,气 体,氮气系统、甲酸系统（其它气氛选配）,氮气系统、甲酸系统（其它气氛选配）,氮气系统、甲酸系统（其它气氛选配）
基本参数,,,,
控制参数,控制方式,西门子PLC+工业触摸屏,西门子PLC+工业触摸屏,西门子PLC+工业触摸屏
控制参数,监视窗口,视觉监控窗口：2个,视觉监控窗口：2个,视觉监控窗口：3个
控制参数,实际温度曲线,配置产品测温接口，可进行产品实际温度监控；,配置产品测温接口，可进行产品实际温度监控；,配置产品测温接口，可进行产品实际温度监控；
控制参数,接 口,以太网通讯接口,以太网通讯接口,以太网通讯接口
安全系统,腔体温度超高报警、超极限温度保护,腔体温度超高报警、超极限温度保护,腔体温度超高报警、超极限温度保护,腔体温度超高报警、超极限温度保护
安全系统,冷却水压力检测系统，低压报警，软件提示,冷却水压力检测系统，低压报警，软件提示,冷却水压力检测系统，低压报警，软件提示,冷却水压力检测系统，低压报警，软件提示
安全系统,气压检测系统，高低压报警，软件提示,气压检测系统，高低压报警，软件提示,气压检测系统，高低压报警，软件提示,气压检测系统，高低压报警，软件提示
安全系统,舱门未到位检测保护,舱门未到位检测保护,舱门未到位检测保护,舱门未到位检测保护
安全系统,电器部件与水冷部件、气路部件隔离,电器部件与水冷部件、气路部件隔离,电器部件与水冷部件、气路部件隔离,电器部件与水冷部件、气路部件隔离
安全系统,一键式切断加热部分电源,一键式切断加热部分电源,一键式切断加热部分电源,一键式切断加热部分电源
