产品网址：http://www.bjclkdkj.com/ProductsStd_337.html
产品结构：root->小型高真空烧接炉KD-V20-北京诚恺联达

|产品名称|产品型号|功能描述|
|----|----|----|
|小型高真空烧接炉|KD-V20|焊接面积 200*200mm，极限真空度 10Pa，横向温差 ±2%，氮气保护气体，西门子 PLC 控制系统，视频采集监控分析系统|

KD-V20技术规格,KD-V20技术规格.1,KD-V20技术规格.2
基本参数要求,外观尺寸,900 x 800 x 1300 mm (LxWxH) 重量：约 200 kg
基本参数要求,低真空,1Pa
基本参数要求,有效焊接面积,200x 160mm
基本参数要求,炉膛高度,100mm
基本参数要求,温度范围,最高可达450°C
基本参数要求,升温速率,最高可达 120°C /min
基本参数要求,降温速率,≥120℃/min
基本参数要求,横向温差,±2%
基本参数要求,炉膛负载,5kW 底部加热系统
基本参数要求,加热平台,特殊处理加热平台
基本参数要求,电源标准,"380V, 50HZ/60HZ"
基本参数要求,电流,"最大可达.max. 3 x20 A, 50-60 HZ"
控制参数,控制方式,西门子PLC+触屏
控制参数,可监视窗口,带可视窗口 （1个）
控制参数,温度曲线设置,温度+时间（可设置温度、时间；也可以设置升温斜率；）（最多可以设定150个工艺阶段）
控制参数,接口,COM
选配项,焊接视觉检测系统,※可选配50-200倍放大，观测、分析焊接过程；  ※软件视频录制功能，便于新产品工艺开发及分析
安全系统,腔体温度超高报警、阶段升温过度报警；,腔体温度超高报警、阶段升温过度报警；
安全系统,系统自检功能，生产前各项功能正常状态下，程序允许可以运行,系统自检功能，生产前各项功能正常状态下，程序允许可以运行
安全系统,冷却水压力检测系统，低压报警，软件提示,冷却水压力检测系统，低压报警，软件提示
安全系统,一键式切断加热部分电源,一键式切断加热部分电源
