产品网址：https://www.szforward.com/product/productDetail_NS_DN4041.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|--|--|--|
|DN4014|DN4014|无|

DN4014多网域互联控制设备,DN4014多网域互联控制设备.1,DN4014多网域互联控制设备.2,DN4014多网域互联控制设备.3
硬件特性,硬件特性,硬件特性,硬件特性
产品尺寸,高度15U，19寸机架式设备,,
网络接口,业务接口板,2个10G接口扩展板,业务口
网络接口,业务接口板,2个10\100\1000Mbps以太网接口,管理口
网络接口,支持POS口、E1口,支持POS口、E1口,支持POS口、E1口
串行接口,1个串行接口 （RS232，RJ45）,1个串行接口 （RS232，RJ45）,1个串行接口 （RS232，RJ45）
USB接口,2个USB接口,2个USB接口,2个USB接口
吞吐量,单业务处理单元在处理256字节长度报文时，同域数据吞吐量≥10Gbps  不同域数据吞吐量≥5Gbps。,单业务处理单元在处理256字节长度报文时，同域数据吞吐量≥10Gbps  不同域数据吞吐量≥5Gbps。,单业务处理单元在处理256字节长度报文时，同域数据吞吐量≥10Gbps  不同域数据吞吐量≥5Gbps。
交换延迟,IP包长为256字节时，数据跨域交换时延不超过0.5ms,IP包长为256字节时，数据跨域交换时延不超过0.5ms,IP包长为256字节时，数据跨域交换时延不超过0.5ms
可靠性,支持双主控、双交换、双电源,支持双主控、双交换、双电源,支持双主控、双交换、双电源
MTBF  (平均无故障时间),≥100000小时,≥100000小时,≥100000小时
MTTR  (平均故障恢复时间),≤30分钟,≤30分钟,≤30分钟
业务特性,业务特性,业务特性,业务特性
业务特性,支持授权跨域交换的协议类型可通过协议特征配置,支持授权跨域交换的协议类型可通过协议特征配置,支持授权跨域交换的协议类型可通过协议特征配置
可信接入,支持对跨域信息交换的计算机数据类业务终端进行身份认证和授权，验证业务终端身份的真实性与合法性，阻止非法终端进行网间信息交换,支持对跨域信息交换的计算机数据类业务终端进行身份认证和授权，验证业务终端身份的真实性与合法性，阻止非法终端进行网间信息交换,支持对跨域信息交换的计算机数据类业务终端进行身份认证和授权，验证业务终端身份的真实性与合法性，阻止非法终端进行网间信息交换
权限控制,支持业务终端信息交换权限控制，只允许得到授权的协议和终端进行跨域信息交换,支持业务终端信息交换权限控制，只允许得到授权的协议和终端进行跨域信息交换,支持业务终端信息交换权限控制，只允许得到授权的协议和终端进行跨域信息交换
网域隔离,能够为不同网（域）提供物理独立的接入处理单元，接入处理单元之间通过物理独立的隔离交换单元互联，使用专用传输协议交换数据报文，防止不同域之间路由信息的交互,能够为不同网（域）提供物理独立的接入处理单元，接入处理单元之间通过物理独立的隔离交换单元互联，使用专用传输协议交换数据报文，防止不同域之间路由信息的交互,能够为不同网（域）提供物理独立的接入处理单元，接入处理单元之间通过物理独立的隔离交换单元互联，使用专用传输协议交换数据报文，防止不同域之间路由信息的交互
数据业务控制,能够对数据业务进行隧道封装，防止非法仿造和篡改数据报文，支持计算机业务终端IP报文来源真实性和完整性检查,能够对数据业务进行隧道封装，防止非法仿造和篡改数据报文，支持计算机业务终端IP报文来源真实性和完整性检查,能够对数据业务进行隧道封装，防止非法仿造和篡改数据报文，支持计算机业务终端IP报文来源真实性和完整性检查
管理控制,能够对通过身份认证的计算机业务终端进行注册登记和实时状态检测，记录终端的接入站点标识和上、下线时间；能够记录接入终端的网间信息交换行为（包括接入时间、接入站点和产生的数据流量统计），并提供终端信息交换行为日志；提供配置管理功能的命令行（CLI）界面和图形化界面（GUI）,能够对通过身份认证的计算机业务终端进行注册登记和实时状态检测，记录终端的接入站点标识和上、下线时间；能够记录接入终端的网间信息交换行为（包括接入时间、接入站点和产生的数据流量统计），并提供终端信息交换行为日志；提供配置管理功能的命令行（CLI）界面和图形化界面（GUI）,能够对通过身份认证的计算机业务终端进行注册登记和实时状态检测，记录终端的接入站点标识和上、下线时间；能够记录接入终端的网间信息交换行为（包括接入时间、接入站点和产生的数据流量统计），并提供终端信息交换行为日志；提供配置管理功能的命令行（CLI）界面和图形化界面（GUI）


型号,描述,配置说明
一体化机箱组件,一体化机箱组件,一体化机箱组件
ATCA-81514PA,ATCA-81514PA一体化机箱组件：竖插、包括机箱、背板、电源转接板、风机组建、提供10个业务处理单元槽位、2个管理控制槽位、2个隔离交换槽位,机箱交流供电，提供双电源
管理控制单元,管理控制单元,管理控制单元
ATCA-CP9500C,ATCA-CP9500C高性能多核管理控制板,配置2块
接入处理单元,接入处理单元,接入处理单元
ATCA-NP7114C,ATCA-NP7114C业务处理单元，提供子卡插槽，支持E1子卡、以太网子卡,标配2块，最大支持8块，10Gbps
隔离交换单元,隔离交换单元,隔离交换单元
ATCA-FC2124C,ATCA-FC2124C高性能隔离交换控制板,配置2块
接口子卡,接口子卡,接口子卡
ATCA-RTM6012C,万兆以太网接口卡，支持1个10G以太网光口、4个千兆以太网光口,选配
ATCA-RTM6012G,千兆以太网接口卡，支持8个千兆以太网光口,选配
ATCA-RTM6012E1,E1接口子卡，支持16路E1接口,选配
