产品网址：https://www.szforward.com/product/productDetail_NS_D100C-G.html#
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|D100C-G|D100C-G|无|

D100C-G多网域交换代理设备,D100C-G多网域交换代理设备.1,D100C-G多网域交换代理设备.2,D100C-G多网域交换代理设备.3
硬件特性,硬件特性,硬件特性,硬件特性
产品尺寸,高度1U，19寸机架式设备。,高度1U，19寸机架式设备。,高度1U，19寸机架式设备。
网络接口,提供2个10G以太网光接口，8个10\100\1000Mbps以太网口,提供2个10G以太网光接口，8个10\100\1000Mbps以太网口,提供2个10G以太网光接口，8个10\100\1000Mbps以太网口
串行接口,1个串行接口 （RS232，RJ45）,1个串行接口 （RS232，RJ45）,1个串行接口 （RS232，RJ45）
USB接口,2个USB接口,2个USB接口,2个USB接口
吞吐量,对于同域数据包，256字节长度吞吐量≥10Gbps  对于不同域数据包，256字节长度吞吐量≥4Gbps,对于同域数据包，256字节长度吞吐量≥10Gbps  对于不同域数据包，256字节长度吞吐量≥4Gbps,对于同域数据包，256字节长度吞吐量≥10Gbps  对于不同域数据包，256字节长度吞吐量≥4Gbps
交换延迟,IP包长为256字节时，数据跨域交换时延不超过0.3ms,IP包长为256字节时，数据跨域交换时延不超过0.3ms,IP包长为256字节时，数据跨域交换时延不超过0.3ms
MTBF  (平均无故障时间),≥100000小时,≥100000小时,≥100000小时
MTTR  (平均故障恢复时间),≤30分钟,≤30分钟,≤30分钟
业务特性,业务特性,业务特性,业务特性
服务申请,提供网间信息交换服务申请信息的录入和提交功能  支持基于数字证书的接入认证,提供网间信息交换服务申请信息的录入和提交功能  支持基于数字证书的接入认证,提供网间信息交换服务申请信息的录入和提交功能  支持基于数字证书的接入认证
接入注册,支持提交注册/注销申请；支持系统启动时自动注册  支持端系统运行状态和接入位置查询,支持提交注册/注销申请；支持系统启动时自动注册  支持端系统运行状态和接入位置查询,支持提交注册/注销申请；支持系统启动时自动注册  支持端系统运行状态和接入位置查询
状态保活,定期向多网域互联控制设备发送状态保活信息，申告在线情况,定期向多网域互联控制设备发送状态保活信息，申告在线情况,定期向多网域互联控制设备发送状态保活信息，申告在线情况
信息传输,截获用户主机传送的IP报文，对跨网传输的报文进行签名、隧道封装、代理传输报文，防止网络中的报文假冒,截获用户主机传送的IP报文，对跨网传输的报文进行签名、隧道封装、代理传输报文，防止网络中的报文假冒,截获用户主机传送的IP报文，对跨网传输的报文进行签名、隧道封装、代理传输报文，防止网络中的报文假冒
透明接入,在不影响用户常规使用模式情况下，完成网间代理传输,在不影响用户常规使用模式情况下，完成网间代理传输,在不影响用户常规使用模式情况下，完成网间代理传输
管理控制,图形化操作界面,图形化操作界面,图形化操作界面


型号,描述,配置说明
D100C-G,跨域传输代理设备，提供8个10\100\1000M以太网电口、2个10G以太网光口，支持两组千兆电口Bypass,必配
