产品网址：https://www.szforward.com/product/productDetail_FR8032.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|自主可控路由器|FR8032|无|

型号特性,型号特性.1,型号特性.2,型号特性.3,型号特性.4,型号特性.5,Tritium FR8032,Tritium FR8032.1,Tritium FR8032.2,Tritium FR8032.3,Tritium FR8032.4,Tritium FR8032.5,Tritium FR8032.6,Tritium FR8032.7,Tritium FR8032.8,Tritium FR8032.9,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格,硬件规格
体系架构,体系架构,体系架构,体系架构,体系架构,体系架构,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,基于国产自主处理器的分布式转发,,,,
固定端口(MCU),固定端口(MCU),固定端口(MCU),固定端口(MCU),固定端口(MCU),固定端口(MCU),1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,1个Console口  1个RJ45 10/100/1000M以太电接口  1个USB2.0接口  1路2M时钟BNC接口,,,,
主控板插槽,主控板插槽,主控板插槽,主控板插槽,主控板插槽,主控板插槽,2,2,2,2,2,2,2,2,2,2,,,,
交换板插槽,交换板插槽,交换板插槽,交换板插槽,交换板插槽,交换板插槽,4,4,4,4,4,4,4,4,4,4,,,,
转发板插槽,转发板插槽,转发板插槽,转发板插槽,转发板插槽,转发板插槽,16,16,16,16,16,16,16,16,16,16,,,,
接口子卡插槽,接口子卡插槽,接口子卡插槽,接口子卡插槽,接口子卡插槽,接口子卡插槽,32,32,32,32,32,32,32,32,32,32,,,,
电源模块插槽,电源模块插槽,电源模块插槽,电源模块插槽,电源模块插槽,电源模块插槽,4,4,4,4,4,4,4,4,4,4,,,,
电源规格,电源规格,电源规格,电源规格,电源规格,电源规格,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,交流电压：198~242V,,,,
最大功耗,最大功耗,最大功耗,最大功耗,最大功耗,最大功耗,4500W,4500W,4500W,4500W,4500W,4500W,4500W,4500W,4500W,4500W,,,,
