产品网址：https://www.szforward.com/product/productDetail_S5300-EI.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|通用交换机|S5300-28TS、S5300-28ST、S5300-52TS|无|

规格 / 型号,S5300-28TS-EI,S5300-28ST-EI,S5300-52TS-EI
硬件规格,硬件规格,硬件规格,硬件规格
固定端口,24端口10/100/1000Base-T  4端口Combo SFP  4端口10GE SFP+,24端口千兆SFP  8端口Combo 10/100/1000Base-T  4端口10GE SFP+,48端口10/100/1000Base-T  4端口10GE SFP+
电源规格,交流：110V-242V 50-60Hz,交流：110V-242V 50-60Hz  直流：RPS（-12V）,交流：110V-242V 50-60Hz
最大功耗,≤35W,≤65W,≤65W
物理尺寸  (宽×深×高),440mm×325mm×44mm,440mm×325mm×44mm,440mm×325mm×44mm
性能规格,性能规格,性能规格,性能规格
包转发率,274Mbps,274Mbps,309Mbps
MAC容量,16K,16K,16K
VLAN容量,4K,4K,4K
ACL容量,3K,3K,3K
路由容量,13K,13K,13K
端口队列,8,8,8
业务规格,业务规格,业务规格,业务规格
转发模式,存储转发,存储转发,存储转发
端口特性,"支持Full- duplex, Half- duplex  支持IEEE802.3x flow control ( Full- duplex )  支持HOL防止首包阻塞，背压( Half- duplex )  支持VCT ( Virtual Cable Test )  支持UDLD, LLDP, LLDP-MED  支持IEEE 802.3ae, 802.3ab, 802.3z, 802.3u, 802.3  支持9K Jumbo frame  支持Loopback interface  支持Port loop detect  支持Port-Isolation  持GE/FE光模块兼容  支持Port Mirror  支持64Kbps粒度端口限速","支持Full- duplex, Half- duplex  支持IEEE802.3x flow control ( Full- duplex )  支持HOL防止首包阻塞，背压( Half- duplex )  支持VCT ( Virtual Cable Test )  支持UDLD, LLDP, LLDP-MED  支持IEEE 802.3ae, 802.3ab, 802.3z, 802.3u, 802.3  支持9K Jumbo frame  支持Loopback interface  支持Port loop detect  支持Port-Isolation  持GE/FE光模块兼容  支持Port Mirror  支持64Kbps粒度端口限速","支持Full- duplex, Half- duplex  支持IEEE802.3x flow control ( Full- duplex )  支持HOL防止首包阻塞，背压( Half- duplex )  支持VCT ( Virtual Cable Test )  支持UDLD, LLDP, LLDP-MED  支持IEEE 802.3ae, 802.3ab, 802.3z, 802.3u, 802.3  支持9K Jumbo frame  支持Loopback interface  支持Port loop detect  支持Port-Isolation  持GE/FE光模块兼容  支持Port Mirror  支持64Kbps粒度端口限速"
MAC特性,支持MAC binding  支持MAC filter  支持MAC limit  支持设定MAC超时时间,支持MAC binding  支持MAC filter  支持MAC limit  支持设定MAC超时时间,支持MAC binding  支持MAC filter  支持MAC limit  支持设定MAC超时时间
VLAN特性,"支持基于端口的VLAN  支持基于802.1Q的VLAN  支持Private VLAN  支持IP subnet VLAN  支持基于协议的VLAN  支持基于MAC的VLAN  支持组播VLAN  支持Voice VLAN  支持QinQ, Slective QinQ, Flexibe QinQ  支持GVRP","支持基于端口的VLAN  支持基于802.1Q的VLAN  支持Private VLAN  支持IP subnet VLAN  支持基于协议的VLAN  支持基于MAC的VLAN  支持组播VLAN  支持Voice VLAN  支持QinQ, Slective QinQ, Flexibe QinQ  支持GVRP","支持基于端口的VLAN  支持基于802.1Q的VLAN  支持Private VLAN  支持IP subnet VLAN  支持基于协议的VLAN  支持基于MAC的VLAN  支持组播VLAN  支持Voice VLAN  支持QinQ, Slective QinQ, Flexibe QinQ  支持GVRP"
端口聚合,支持LACP 802.3ad  支持源MAC/目的MAC/源-目的MAC/源IP/目的IP/源-目的IP负载均衡  支持128个聚合组  每个聚合组最大支持8端口聚合,支持LACP 802.3ad  支持源MAC/目的MAC/源-目的MAC/源IP/目的IP/源-目的IP负载均衡  支持128个聚合组  每个聚合组最大支持8端口聚合,支持LACP 802.3ad  支持源MAC/目的MAC/源-目的MAC/源IP/目的IP/源-目的IP负载均衡  支持128个聚合组  每个聚合组最大支持8端口聚合
