产品网址：http://www.swcpu.cn/show-190-257-1.html
产品结构：首页->产品中心->高性能多核处理器->申威421-

|产品名称|产品型号|功能描述|
|--|--|--|
|申威 421 处理器|申威 421|基于第三代“申威 64”核心（增强版）研制的 4 核心通用处理器，采用 28nm 代工工艺，工作频率设计目标为 2GHz；4 个核心以 CC_NUMA 方式共享片上三级共享 Cache，并且三级 Cache 容量达到 8MB；计算性能：主频 2GHz 时的双精度浮点性能可高达 128GFlops；访存性能：集成 2 路 64 位 DDR3 存储控制器，传输率最高达 2133MBps，支持 ECC 校验；最大可支持内存容量高达 64GB；I/O 性能：集成 2 路 PCI-E3.0×8 接口，双向聚合有效带宽提高到 32Gbps；升级 I/O 虚拟化技术，支持 SR-IOV 处理机制|

参数,性能指标
核心数量,4
核心频率,设计目标频率2.0GHz。
峰值运算速度,浮点：每秒1280亿次双精度浮点结果@2.0GHz；  整数：每秒720亿次整数结果2.0GHz。
工艺特征,内核电源：0.95V±5%；  I/O电源：1.5V±10%，1.8V±10%。
Cache容量,每个核心包含两级Cache，Cache行长度为128字节；  一级Cache：指令与数据分离，容量分别为32KB，均采用4路组相联结构；  二级Cache：指令与数据混合，容量为512KB，采用8路组相联结构；  4个核心共享三级Cache，容量为8MB，Cache行长度为128字节，采用32路组相联结构。
存储空间,支持64位虚地址空间，实际实现43位虚地址；  支持40位物理地址。
存储器接口,2路64位DDR3存储器接口，支持纠单错、检双错的ECC校验，最大传输率为2133MBps；  支持的总存储器容量最大可达64GB；  支持连接DDR3 SDRAM芯片、UDIMM或RDIMM存储器条。
I/O接口,两路PCI-E 3.0 ×8接口，单链路有效带宽8Gbps；  维护接口支持兼容Jtag标准的芯片调试与维护。
封装特性,采用FC-BGA封装，引脚数为1156。
功耗,热设计功耗：20W（4核心）；  典型运行功耗：待实际测量。
