产品网址：http://www.chiralst.com/productse.html
产品结构：root->5-Methyl-1H-tertazole|5-Phenyl-1H-tetrazole|1H-Tertazole--HebeiChiralStarTechCo.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|Functional fine chemicals|无|无|
|Pharmaceutical intermediates|无|无|
|Electronic chemicals|无|无|
|Biomimetic pesticide|无|无|

No.,Product name,Product category,CAS NO.
1,5-Methyl-1H-tertazole,Functional fine chemicals,4076-36-2
2,5-Phenyl-1H-tetrazole,Functional fine chemicals,18039-42-4
3,1H-Tertazole,Functional fine chemicals,288-94-8
4,1-Phenyltetrazole-5-thiol,Functional fine chemicals,86-93-1
5,5-Amino-1H-tetrazole,Functional fine chemicals,4418--61-5
6,1-(2-Dimethylaminoethyl)-5-Mercapto-1H-tetrazole,Functional fine chemicals,61607-68-9
7,5-Methyl-1H-tertazole,Pharmaceutical intermediates,4076-36-2
8,5-Phenyl-1H-tetrazole,Pharmaceutical intermediates,18039-42-4
9,1H-Tertazole,Pharmaceutical intermediates,288-94-8
10,1-Phenyltetrazole-5-thiol,Pharmaceutical intermediates,86-93-1
