产品网址：http://www.chiralst.com/index.php/Home/Index/products2e/typeid/13/p/2.html
产品结构：root->5-Methyl-1H-tertazole|5-Phenyl-1H-tetrazole|1H-Tertazole--HebeiChiralStarTechCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|Pharmaceutical intermediates|无|无|

No.,Product name,CAS NO.
11,Tetrazole-1-acetic acid,21732-17-2
12,Ethyl tetrazole-5-carboxylate,55408-10-1
13,4-Amino-2-chloro-5-(1H- tetrazol-5-yl)benzenesulfonamide,82212-14-4
14,5-(Ethylthio)-1H-Tetrazole,89797-68-2
15,5-(4-Chlorobutyl)-1-cyclohexanyl tetrazole,73963-42-5
16,"( E,E)-2,4-Hexadien-1-ol",17102-64-6
17,(2-Aminothiazole-4-yl) acetic acid,29676-71-9
18,Sarcosine,107-97-1
19,(R)-2-Amino-1-butanol,5856-63-3
20,(S)-(+)-4-Phenyl-2-oxazolidinone,99395-88-7
