产品网址：http://icpc.cn/cms/item/view?table=product&id=95
产品结构：root->RVX6681独显i76UVPX主板-北京捷世智通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|主板|RVX6681|第三代 Intel Core i7 处理器带独显 6U VPX 刀片，系统框图包括 Intel 第三代 Ivy Bridge 核心 Core i7 系列处理器、双通道 DDR3 内存、AMD E6760 图形控制器、2 路 XAUI 万兆以太网、2 路 1000BASE-KX/BX SERDES 以太网、扩展面支持 1 路 PCIe x16 总线，可灵活配置成 2 路 PCIe x8、2 路 1000BASE-T 以太网，支持宽温工作|




处理器,英特尔core i7‐3612,英特尔core i7‐3612.1
BIOS,"AMI EFI BIOS, 16MB SPI Flash","AMI EFI BIOS, 16MB SPI Flash"
芯片组,Intel® QM77 PCH,Intel® QM77 PCH
GPU显卡,"AMD E6760  显卡工作频率600 MHz，显存工作频率800 MHz /3.2 Gbps，  配置：128‐bit wide, 1 GB, GDDR5, 51.2GB/s  超级计算GPGPU：576 GFLOPs的峰值单精度浮点性能使AMD Radeon™ E6760 GPU成为超声、雷达和视频监控等一般图形处理器(GPGPU)应用的明智选择  卓越的视频特性第三代统一视频解码器可以对H.264、VC‐1、MPEG4和MPEG2 压缩视频流  进行双重高清解码","AMD E6760  显卡工作频率600 MHz，显存工作频率800 MHz /3.2 Gbps，  配置：128‐bit wide, 1 GB, GDDR5, 51.2GB/s  超级计算GPGPU：576 GFLOPs的峰值单精度浮点性能使AMD Radeon™ E6760 GPU成为超声、雷达和视频监控等一般图形处理器(GPGPU)应用的明智选择  卓越的视频特性第三代统一视频解码器可以对H.264、VC‐1、MPEG4和MPEG2 压缩视频流  进行双重高清解码"
内存,双通道SO‐DIMM  DDR3内存，通道A板载4GB内存，  通道B支持1个SODIMM插槽,双通道SO‐DIMM  DDR3内存，通道A板载4GB内存，  通道B支持1个SODIMM插槽
存储,1xSATA3.0  4xSATA2.0接口(后出线),1xSATA3.0  4xSATA2.0接口(后出线)
显示,1 x DVI_I连接器  1x VGA接口(后出线),1 x DVI_I连接器  1x VGA接口(后出线)
USB,2x USB2.0连接器  2x USB2.0连接器(后出线),2x USB2.0连接器  2x USB2.0连接器(后出线)
以太网,2x SERDES千兆以太网  2x10/100/1000Mbps自适应千兆以太网(电口)(后出线)  1x10/100Mbps自适应网口(后出线IPMC网口)  2x万兆以太网(后出线),2x SERDES千兆以太网  2x10/100/1000Mbps自适应千兆以太网(电口)(后出线)  1x10/100Mbps自适应网口(后出线IPMC网口)  2x万兆以太网(后出线)
音频,耳机麦克(后出线),耳机麦克(后出线)
串口,2x RS232串口(后出线)  1xRS232 3芯串口(后出线IPMC串口),2x RS232串口(后出线)  1xRS232 3芯串口(后出线IPMC串口)
指示灯,"1颗电源指示灯, 2颗网络指示灯,1颗硬盘指示灯,  主板指示灯(红色指示灯代表异常、绿色指示灯代表正常),1颗管理子卡状态指示灯","1颗电源指示灯, 2颗网络指示灯,1颗硬盘指示灯,  主板指示灯(红色指示灯代表异常、绿色指示灯代表正常),1颗管理子卡状态指示灯"
开关,1x开机按钮,1x开机按钮
板内扩展槽,1x IPMC接口,1x IPMC接口
后I/O接口,1xJTAG接口  2xPCIE×8信号PCIe2.0标准,1xJTAG接口  2xPCIE×8信号PCIe2.0标准
产品尺寸,6U（高）×5HP（宽）×160mm（深）,6U（高）×5HP（宽）×160mm（深）
工作温度,详见订货信息,详见订货信息
存储温度,‐40~+70摄氏度，,‐40~+70摄氏度，
相对湿度,湿度不大于98%（25℃）,湿度不大于98%（25℃）
冲击,满足GJB367A‐2001《军用通信设备通用规范》中第3.10.2.5 条的相关规定,满足GJB367A‐2001《军用通信设备通用规范》中第3.10.2.5 条的相关规定
振动,满足GJB367A‐2001中3.10.3.1中地面通信设备车内使用(汽车）的相关规定,满足GJB367A‐2001中3.10.3.1中地面通信设备车内使用(汽车）的相关规定
操作系统,操作系统：MS Windows XP SP3以上；,操作系统：MS Windows XP SP3以上；
