产品网址：http://icpc.cn/cms/item/view?table=product&id=122
产品结构：当前位置：首页->产品与服务->飞腾->载板

|产品名称|产品型号|功能描述|
|--|--|--|
|飞腾万兆网络板|OEM-BF161-RA|基于 FT1500A/16 高性能处理器设计的网络主板，采用异型 CPCIE 架构，配置内存容量 16GB，搭载 4 个万兆光口，6 个千兆 10M/100M/1000M 自适应网口，其中一个网口作为管理网口，配置管理地址，一个作为双机热备口，其他 4 个千兆口和 6 个万兆口作为业务口。根据安全管理的需求，系统配置 64GB 板贴固态硬盘颗粒，安装操作系统；预留 mSATA 固态硬盘接口进行数据存储。飞腾网络板采用全国产化器件，扩展连接器采用 CPCIE 高密加固连接器，能够在较低和较高的温度下存储和工作，让整机在高低温和恶劣工作环境要求，且 CPCIE 主板扩展多个通用总线，让设备功能扩展，多个产品形态可采用同一款主板。|




主板,<230*200mm
处理器,FT1500A/16
桥片,ZX-200
内存,提供8GB/16GB ECC DDR3四通道内存板贴颗粒
存储,64GB板贴BGA SATA固态盘  预留mSATA或2.5寸固态硬盘
网络,6x  10/100/1000Mbps RJ45网络接口(WX1860AL4)
网络,4xSFP+光口(WX1820AL)
前置接口,4XSFP+万兆光口；6x RJ45千兆口
前置接口,2x USB2.0接口；1XRJ45串口；4x指示灯
背板接口,1XRS232串口；1x千兆网
背板接口,IxSATA接口；2XUSB2.0接口
板内接口,"1x COM串口,2.0mm插针；2x USB2.0接口,2.0mm插针"
板内接口,"4xGPIO, 2.0mm插针；1x  mSATA SLOT"
按键,1 x Power  Button；1 x Reset Button
工作环境,0C〜55°C；5%-90%（非凝结状态）
工作环境,CPU选用工业级可以达到工作温度-25  ~ 55°C
储存环境,-50C-65C；5%〜90%（非凝结状态）
电源,"8PIN, DC 12V"
