产品网址：http://icpc.cn/cms/item/view?table=product&id=91
产品结构：root->CPB5006i7-3517UE3UVPX零槽控制器-北京捷世智通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|3U VPX 零槽控制器|CPB5006 i7-3517UE|基于 Intel Core i7-3517UE 处理器的 3U VPX 加固型零槽控制器，表贴 4G 内存颗粒，为用户提供 SerDes、SATA、USB、UART、PCIE(X8)等接口和总线，同时板载机箱管理模块，具备电源和整机管理控制功能。采用 VITA48.2 的加固导冷结构，整体结构紧凑，抗振动性好，可靠性高，能完全胜任各种现场复杂处理工作。可应用于通信、工业现场、交通控制等领域。|




CPU,Intel 3ndCore i7-3517UE，1.7GHz
外部总线,VPX PCIE(X8)总线
内存,4GB DDR3
外围接口,1 路VGA显示接口，最大支持分辨率2048x1536  2 路SATA2.0接口  2路1000Mbase-kx的SerDes接口  1路10/100/1000Mbps自适应以太网口  3路RS232，三线制  4路Host USB2.0接口  1路音频输出Line_OUT和Mic输入  1路PCIE(X8)  1组机箱管理模块接口
其它,指示灯；RTC时钟；看门狗
功耗,典型功耗：23W@5V
湿度,工作：10%～90% 存储：5%～95%
温度,工作：分为A、B、C三档，详见订货信息存储：-55℃～+85℃
冲击,20G
振动,5Hz～500Hz随机
尺寸,3U 4HP，100mm x 160mm x 13mm
