产品网址：http://icpc.cn/cms/item/view?table=product&id=45
产品结构：当前位置：首页->产品与服务->PowerPC->模块->CPB0842D嵌入式MPC5121计算机

|产品名称|产品型号|功能描述|
|--|--|--|
|嵌入式 MPC5121 计算机模块|CPB0842D|是针对通讯和相关控制领域的特殊需求对性能、功能和成本进行优化设计的嵌入式计算机模块。具有 3 路串口和 4 路以太网通讯口，还具有 LCD 显示接口和音频接口，带 2D/3D 加速显示引擎和多媒体音频加速引擎等特点。功耗低、可靠性高、使用简单方便，可应用于宽温环境，抗震动和冲击能力强。支持 CPM 小型计算机接口规范，140Pin 接口定义。基于 Freescale MPC5121E 处理器，核心最高频率为 400MHz，256MB DDR2-SDRAM，64M NOR FLASH，2GB NAND FLASH，1 路 USB2.0 接口，4 路 10/100Mbps 自适应以太网接口，2 组 TTL 串口，1 路 RS232 串口，4 路 CAN 接口，支持本地总线扩展，4 路中断输入，8 路 GPIO 接口。|




处理器,400MHz MPC5121e
内存,256MB  DDR2-SDRAM
存储,64MB  Nor Flash；  2GB SLC NAND Flash
USB接口,1个USB2.0接口
网口,4路10/100Mbps自适应以太网接口
串口,"1路RS232  consol（RS232电平，二线制）  2路UART(TTL电平,四线制)"
CAN接口,4路CAN接口
显示接口,LCD  接口24位，1024*768
外部中断,4路外部中断，延触发方式
LPC总线,1个8bit数据16位地址的Local  Bus总线
GPIO接口,8路通用输入输出IO口
I2C总线,1路I2C总线接口
其他,1路看门狗；1路实时时钟  1路SPDIF接口(Sony/Philips DigitalInterface)
功耗,5W(  Full Load)
湿度,工作：10%  ~ 90%； 存储：5% ~ 95%
冲击,10G
工作温度,-10℃～ +50℃（扩展温度：-40℃ ～ +85℃）
存储温度,-55℃～ +85℃
尺寸,95  x 60 mm
