产品网址：http://icpc.cn/cms/item/view?table=product&id=29
产品结构：当前位置：首页->产品与服务->龙芯->模块->JTX-0051龙芯2F嵌入式

|产品名称|产品型号|功能描述|
|--|--|--|
|龙芯 2F 嵌入式模块|JTX-0051|基于龙芯 2F 高性能通用处理器，集成 512M DDR2 内存、512KB flash ROM、VIA VT82C6868 南桥、Intel 82451 PI 千兆网控制器等芯片，提供 PCI、网络、SATA、USB、COM、PS/2 等接口，可用于国防军工、航空航天、网络安全、能源等控制领域，用户可自行搭建基于龙芯 2F 的嵌入式系统|




处理器,龙芯2F处理器
主频,600MHz-1GHz
内存,512MB DDR2-SDRAM 533/667MHZ
PCIE接口,33MHz 32bit兼容pci2.3
CACHE,128KB-级CACHE（分离的64KB指令CACHE和64KB数据CACHE） 512KB二级CACHE
RTC,南桥芯片支持的RTC实时钟
电源及功能,7-1OW （full load）、3.3V DC input
存储器板载贴装,"512KB  Flash ROM,用于存储系统BIOS,并设置硬件保护，防止用户误擦除 用特殊软件可以升级，EEPROM:1KB用于存储板卡硬件信息，以及软件版本号等"
机械规范,JTX嵌入式机械规范
操作系统,"板载PMON,支持Linux和Vxworks操作系统"
接口JTX-X1,双排80pins连接器，1.27mm引脚间距，32位，33MHz PCI总线，3.3V电源供电引脚和地线
接口JTX-X2,"双排80pins连接器，1.27mm引脚间距，信号引脚组包括USB,  LAN, SATA, COM, PS/2等 其中一个3线制RS232串口用于调试，一个标准RS232串口扩展插座  复位信号，LVDS接口*1,3.3V电源供电引脚和地线"
湿度范围,"工作：10%~  90%,无凝结  存储：5%~95%"
温度范围,工作温度：-40°C-+65°C（可选-40°C- +85°C）  存储温度：-50°C-+85°C
尺寸,90mm（长）x60mm（宽）x9mm（高）
功耗,系统板：1.9A@3.3VDC5%800MHz主频  RTC:小于5uA@3VDC  全负荷总功耗：7瓦@800MHz主频，10瓦@1GHz主频
