产品网址：http://icpc.cn/cms/item/view?table=product&id=72
产品结构：当前位置：首页->产品与服务->PowerPC->模块->CPB0067MPC8640DCOMExpress嵌入式

|产品名称|产品型号|功能描述|
|--|--|--|
|CPB0067 MPC8640D COM Express 嵌入式模块计算机|CPB0067|符合 COM Express™规范，基于 PowerPC 双核 MPC8640D 处理器，集成两个 e600 内核，内部 MPX 速率为 533MHz，外接 64 位宽的 DDR2 内存，自带 4 路增强型千兆网络控制器，具有强大的网络吞吐能力和运算处理能力，全部使用表面贴装工艺，带散热冷板，整体结构紧凑，高抗振动，高抗冲击，高可靠性设计，能够满足高性能要求和恶劣环境下的应用，可应用于通信、视频图像处理、信号处理等|




CPU,"Freescale, MPC8640D, 1067MHz"
外部总线,16位地址线，32位数据线，4个IRQ外部中断
内存,1GB 64Bit DDR2 SDRAM 533MHz
存储,64MB Nor flash
外围接口,4 x  10/100/1000Base-T网口(其中2路可配置为  SFP光纤模块接口)  1 x调试串口，1 x通用串口，1 x I²C  4 x USB2.0接口  2 x SATA2.0  3.0Gb/s  8 x可编程GPI  O  1 x PCI-E  1.0(x8)(可配置为x4 Rapid IO)  5 x PCI-E 1.0(x1)
其它,3x可编程指示灯控制线  独立看门狗，温度传感器，RTC实时时钟
功耗,典型24W @12VDC
湿度,工作：10%～95%； 非工作：10%～95%
温度,工作：分为A、B、C三档，详见订货信息存储：-55℃～+85℃
冲击,20G
振动,5Hz～500Hz随机
尺寸,125mm x 95mm x 13mm
软件支持,VxWorks 6.7、VxWorks 6.8
