产品网址：https://www.china-core.com/products_show.php?id=47&lm=47
产品结构：root->CCM4201S-L芯片-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|生物特征识别领域芯片|CCM4201S-L|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹识别领域。工作频率 240MHz。具有 32 位高性能核 Cortex-M4F，工作频率 200MHz，处理性能强劲，配合快速中断响应，增强的系统调试功能，扩展的断点和追踪能力，有效率的处理器核心，系统和存储器，内置的睡眠模式实现极低功耗，内置的存储保护单元（MPU）实现平台安全鲁棒性，兼容 IEEE754 的单精度 FPU。片上存储资源包括 256KB 字节 SRAM、32KB 字节 ROM、4KB 字节 OTP。内部模块包括 DMA/EDMA、定时器（PIT32bit）、看门狗（WDT）、计时器（TC）、实时时钟（RTC）。安全特性包括公钥算法引擎、对称算法引擎、摘要算法引擎、CRC、真随机数发生器、安全检测与防护单元。其他特性包括每一颗产品具有唯一序列号、主电输入电压 2.97V~3.60V、内核主频 240MHz，正常运行 40mA、两种低功耗模式、支持内部上电复位和外部复位。典型应用为指纹模块。技术支持包括完整的开发环境、丰富的驱动库、完善的应用解决方案。|

引脚,封装类型及引脚分配（单位：mm）,封装类型及引脚分配（单位：mm）.1,封装类型及引脚分配（单位：mm）.2
引脚,QFN32_B  (4*4*0.75~0.90),QFN48_A  (6*6*0.75),QFN64_B  (8*8*0.75~0.90)
SPI(复用),1,1,2
I2C(复用),1,1,2
SSI(复用),1(普通模式),1+1(普通模式),2
SSISLV(复用),0,1,1
SCI(复用),1,3,3
ISO7816(复用),2,1,2
USB(复用),1,1,1
PWM(复用),4,6,8
PWMT(复用),1组（1通道）,3组（4通道）,3组（8通道）
CAN(复用),0,1,2
EPORT(复用),23,37,51
ADC(复用),1,4,9
I2S(复用),0,0,1
