产品网址：https://www.china-core.com/products_show.php?id=41&lm=40
产品结构：root->RAID板卡CCUSR8116规格书-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|RAID 板卡|CCUSR8116|全国产自研 RAID 板卡，是 SATA RAID 控制器，具有卓越的 PCIe Gen3 传输带宽、专业级的 RAID 解决方案、无缝升级 RAID 存储、可定制的 RAID 解决方案服务等功能特点，适用于各式存储服务器、Web 服务器、NAS 服务器、各式监控服务器等应用场景|

产品型号,CCUSR7116 (HBA卡),CCUSR8116 (RAID卡)
功能规格,功能规格,功能规格
主机接口,x8 PCIe Gen 3.0（8Gb/s）,x8 PCIe Gen 3.0 （8Gb/s）
硬盘接口,x16 SATA3.0（6Gb/s）,x16 SATA3.0（6Gb/s）
端口数量,16,16
端口类型,x4 SFF-8643 mini SASHD,x4 SFF-8643 mini SASHD
缓存,无,2GB DDR
缓存保护,无,EMMC Flash存储
RAID模式,0/1/5/6/10/50/60/JBOD,0/1/5/6/10/50/60/JBOD
最大功耗,8瓦,9瓦
外形尺寸,标准半高  PCIe卡,标准半高  PCIe卡
高级  RAID功能,高级  RAID功能,高级  RAID功能
BIOS升级闪存ROM,是,是
坏扇区检测和修复,是,是
BIOS UEFI(HII）,是,是
可引导的  RAID 阵列,是,是
支持多个  RAID分区,是,是
在线阵列漫游,是,是
在线  RAID 级别迁移,是,是
在线容量扩展,是,是
自动阵列重建,是,是
自动检测磁盘插入和拔出,是,是
热备盘支持,是,是
任务管理  (阵列校验排程),是,是
RAID 监控和管理套件,RAID 监控和管理套件,RAID 监控和管理套件
机柜管理接口,I2C,SGPIO/I2C/IO
基于Web的阵列管理软件,是,是
邮件通知,是,是
S.M.A.R.T支持,是,是
事件日志,是,是
主机平台和操作系统支持,主机平台和操作系统支持,主机平台和操作系统支持
主机平台支持,龙芯/飞腾/申威/海光/兆芯/鲲鹏,龙芯/飞腾/申威/海光/兆芯/鲲鹏
BIOS支持,UEFI(HII）,UEFI(HII）
操作系统支持,银河麒麟/中标麒麟/龙芯/UOS/Windows/Linux,银河麒麟/中标麒麟/龙芯/UOS/Windows/Linux
操作环境,操作环境,操作环境
工作温度,+5℃ ～ +85℃,+5℃ ～ +85℃
存储温度,-20℃ ～ +105℃,-20℃ ～ +105℃
工作电压,"PCIe: 12V, 3.3V","PCIe: 12V, 3.3V"
