产品网址：https://www.china-core.com/News_show-125-90.html
产品结构：root->国芯科技2024年度“提质增效重回报”行动方案（一）：聚焦主营业务，实现高质量发展-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|域控制器/ADAS功能安全控制器MCU|CCFC3012PT|采用多核PowerPC架构（6个主核+4个锁步核）的公司自研CPU核C3007，算力可以达到2700DMIPS以上，兼具功能安全和信息安全处理的功能|
|汽车电子SoC/MCU芯片|CCFC3009PT|采用高性能RSIC-V架构CPU，算力可以达到6000DMIPS以上|
|线控底盘控制驱动类芯片|无|集成度更高|
|门控领域的控制预驱类芯片|无|集成度更高|
|集成MCU和BLCD无刷电机驱动功能的单芯片|无|无|
|用于安全气囊的加速度传感器芯片|无|满足ASIL-D功能安全等级|
|云安全计算芯片|无|主处理器采用高算力RISC-V架构的CRV7AI，并融合了神经网络计算的AI协处理单元，可以适应更多高性能计算、高性能处理和人工智能推理等复杂应用场景|
|RAID芯片|CCRD3316|无|
|全国产RAID卡|CCUSR8116|无|
|量子安全智能终端可用芯片|无|无|
