产品网址：http://www.i-core.cn/en/product_list/61.html
产品结构：root->-Wuxii-CoreElectronicsCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|LED Display Driver|无|无|
|LCD Display Driver|无|无|
|OLED Display|无|无|
|VFD Display|无|无|
|8-Bit Flash MCU|无|无|
|8-Bit Flash RISC MCU|无|无|
|9P Serise 8-Bit RISC MCU|无|无|
|8-Bit MTP RISC MCU|无|无|
|8-Bit OTP RISC MCU|无|无|
|32-Bit RISC-V MCU|无|无|
|32-Bit Speech IC|无|无|
|HC HCT|无|无|
|AHC AHCT|无|无|
|LV|无|无|
|LVC|无|无|
|LVT|无|无|
|AVC|无|无|
|AUP|无|无|
|4000|无|无|
|Analog Multiplexer/Demultiplexer|无|无|
|Level-Shifting|无|无|
|General Purpose Operational Amplifier|无|无|
|High-Speed Operational Amplifier|无|无|
|Precision Operational Amplifier|无|无|
|Current Detection Operational Amplifier|无|无|
|Audio Operational Amplifier|无|无|
|Comparator|无|无|
|Linear Regulator|无|无|
|Power Supply Monitor|无|无|
|Voltage Reference|无|无|
|Battery Management|无|无|
|DC-DC|无|无|
|PWM Controller|无|无|
|Leakage Protection|无|无|
|H-Bridge Driver|无|无|
|Stepping Motor Driver|无|无|
|MOSFET Driver|无|无|
|Gate Driver|无|无|
|Darlington Arrays|无|无|
|Sound Quality and Sound Effect Processing|无|无|
|Audio Suppporting|无|无|
|Learning Remote Control|无|无|
|Wireless Remote Control|无|无|
|Infrared Remote Control|无|无|
|Bus Interface|无|无|
|Telephone|无|无|
|Memory|无|无|
|Capacitive Touch Chip|无|无|
|Real-Time Clock Circuit|无|无|
|Pyroelectric Infrared|无|无|
|Measurement|无|无|
|Others|无|无|
