产品网址：http://en.cellwise-semi.com/products/index?ptype=lithiumcell&classify=2nd%20Protection
产品结构：root->CellWiseMicroelectronics

|产品名称|产品型号|功能描述|
|--|--|--|
|Battery Protection|Full Protection|无|
|Battery Protection|2nd Protection|无|
|Battery Protection|AFE|无|
|Fuel Gauge|Voltage Sense Only|无|
|Fuel Gauge|Voltage & Current Sense|无|
|Power Management IC|Battery Charger|无|
|Power Management IC|DCDC Convertor|无|
|Power Management IC|LDO|无|
|Power Management IC|Low Iq Load Switch|无|
|USB Port Charging Controller|USB Charging Controller with Current Limitation|无|
|USB Port Charging Controller|USB Charging Controller with Communication Function|无|
|USB Port Charging Controller|USB Charging Controller|无|
|Brushed DC Motor Smart Controller|Brushed DC Motor Smart Controller|无|


