产品网址：http://www.optifilter.com/product_show.asp?id=3476
产品结构：root->产品中心-无锡奥夫特光学技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|增透膜|248nm 增透膜|应用于 KrF 激光器，要求反射率、吸收和散射损耗尽量小，同时要求阈值尽可能高|
|增透膜|59°1064nm 增透膜|常用于激光器的谐振腔，要求偏振分量的透过率和阈值都尽可能高|
|增透膜|355nm、532nm、1064nm 三波段增透膜|应用于 Nd:YAG 激光器系统，要求反射率、吸收和散射损耗尽量小，阈值尽可能高|

工作波长（nm）,工作角度,尺寸  (mm),透过率,光洁度  （美军标）,透射面形  （λ =632.8nm）,"阈值  （J/cm2,3ns）"
248.0,θ±10°,Φ12.7,T>99.50%,10-5,PV<1/10,>1
,θ±10°,Φ25.4,T>99.50%,10-5,PV<1/10,>1
,θ±10°,Φ50.8,T>99.50%,10-5,PV<1/8,>1
,θ±10°,Φ300,T>99.50%,40-20,PV<1/5,>1
,θ±10°,Φ600,T>99.50%,60-40,PV<1/4,>1
,θ±10°,Φ900,T>99.50%,60-40,PV<1/3,>1
266.0,θ±10°,Φ12.7,T>99.50%,10-5,PV<1/10,>1
,θ±10°,Φ25.4,T>99.50%,10-5,PV<1/10,>1
,θ±10°,Φ50.8,T>99.50%,10-5,PV<1/8,>1
,θ±10°,Φ300,T>99.50%,40-20,PV<1/5,>1
,θ±10°,Φ600,T>99.50%,60-40,PV<1/4,>1
,θ±10°,Φ900,T>99.50%,60-40,PV<1/3,>1
355.0,θ±10°,Φ12.7,T>99.70%,10-5,PV<1/10,>6
,θ±10°,Φ25.4,T>99.70%,10-5,PV<1/10,>6
,θ±10°,Φ50.8,T>99.70%,10-5,PV<1/8,>6
,θ±10°,Φ300,T>99.70%,40-20,PV<1/5,>5
,θ±10°,Φ600,T>99.70%,60-40,PV<1/4,>5
,θ±10°,Φ900,T>99.70%,60-40,PV<1/3,>5
532.0,θ±10°,Φ12.7,T>99.70%,10-5,PV<1/10,>8
,θ±10°,Φ25.4,T>99.70%,10-5,PV<1/10,>8
,θ±10°,Φ50.8,T>99.70%,10-5,PV<1/8,>8
,θ±10°,Φ300,T>99.70%,40-20,PV<1/5,>7
,θ±10°,Φ600,T>99.70%,60-40,PV<1/4,>7
,θ±10°,Φ900,T>99.70%,60-40,PV<1/3,>7
800.0,θ±10°,Φ12.7,T>99.80%,10-5,PV<1/10,>16
,θ±10°,Φ25.4,T>99.80%,10-5,PV<1/10,>16
,θ±10°,Φ50.8,T>99.80%,10-5,PV<1/8,>16
,θ±10°,Φ300,T>99.80%,40-20,PV<1/5,>15
,θ±10°,Φ600,T>99.80%,60-40,PV<1/4,>15
,θ±10°,Φ900,T>99.80%,60-40,PV<1/3,>15
1064.0,θ±10°,Φ12.7,T>99.90%,10-5,PV<1/10,>30
,θ±10°,Φ25.4,T>99.90%,10-5,PV<1/10,>30
,θ±10°,Φ50.8,T>99.90%,10-5,PV<1/8,>30
,θ±10°,Φ300,T>99.90%,40-20,PV<1/5,>28
,θ±10°,Φ600,T>99.90%,60-40,PV<1/4,>28
,θ±10°,Φ900,T>99.90%,60-40,PV<1/3,>27
1319.0,θ±10°,Φ12.7,T>99.90%,10-5,PV<1/10,-
,θ±10°,Φ25.4,T>99.90%,10-5,PV<1/10,-
,θ±10°,Φ50.8,T>99.90%,10-5,PV<1/8,-
,θ±10°,Φ300,T>99.90%,40-20,PV<1/5,-
,θ±10°,Φ600,T>99.90%,60-40,PV<1/4,-
,θ±10°,Φ900,T>99.90%,60-40,PV<1/3,-
2090.0,θ±10°,Φ12.7,T>99.90%,10-5,PV<1/10,-
,θ±10°,Φ25.4,T>99.90%,10-5,PV<1/10,-
,θ±10°,Φ50.8,T>99.90%,10-5,PV<1/8,-
,θ±10°,Φ300,T>99.90%,40-20,PV<1/5,-
,θ±10°,Φ600,T>99.90%,60-40,PV<1/4,-
,θ±10°,Φ900,T>99.90%,60-40,PV<1/3,-
2940.0,θ±10°,Φ12.7,T>99.90%,10-5,PV<1/10,-
,θ±10°,Φ50.8,T>99.90%,10-5,PV<1/8,-
,θ±10°,Φ300,T>99.90%,40-20,PV<1/5,-
,θ±10°,Φ600,T>99.90%,60-40,PV<1/4,-
,θ±10°,Φ900,T>99.90%,60-40,PV<1/3,-


工作波长（nm）,工作角度,尺寸  (mm),透过率,光洁度  （美军标）,面形  （λ =632.8nm）,阈值
225-280,θ±1 0°,Φ12. 7,T>99.00%,10  -5,PV<1/1 0,">1J/cm  2  @248nm,3ns"
225-280,θ±1 0°,Φ25. 4,T>99.00%,10  -5,PV<1/1 0,">1J/cm  2  @248nm,3ns"
225-280,θ±1 0°,Φ50. 8,T>99.00%,10  -5,PV<1/8,">1J/cm  2  @248nm,3ns"
225-280,θ±1 0°,Φ300,T>99.00%,40-20,PV<1/4,">1J/cm  2  @248nm,3ns"
225-280,θ±1 0°,Φ600,T>99.00%,60-40,PV<1/3,">1J/cm  2  @248nm,3ns"
225-280,θ±1 0°,Φ900,T>99.00%,60-40,PV<1/3,">1J/cm  2  @248nm,3ns"
355&532,θ±1 0°,Φ12. 7,T>99.50%,10  -5,PV<1/1 0,">8J/cm  2  @ 532nm,3ns"
355&532,θ±1 0°,Φ25. 4,T>99.50%,10  -5,PV<1/1 0,">8J/cm  2  @ 532nm,3ns"
355&532,θ±1 0°,Φ50. 8,T>99.50%,10  -5,PV<1/8,">8J/cm  2  @ 532nm,3ns"
355&532,θ±1 0°,Φ300,T>99.50%,40-20,PV<1/4,">8J/cm  2  @ 532nm,3ns"
355&532,θ±1 0°,Φ600,T>99.50%,60-40,PV<1/3,">8J/cm  2  @ 532nm,3ns"
355&532,θ±10 °,Φ900,T>99.50%,60-40,PV<1/3,">8J/cm  2  @ 532nm,3ns"
800&1064,θ±1 0°,Φ12. 7,T>99.80%,10  -5,PV<1/1 0,">29J/cm  2  @ 1064nm,3ns"
800&1064,θ±1 0°,Φ25. 4,T>99.80%,10  -5,PV<1/1 0,">29J/cm  2  @ 1064nm,3ns"
800&1064,θ±1 0°,Φ50. 8,T>99.80%,10  -5,PV<1/8,">29J/cm  2  @ 1064nm,3ns"
800&1064,θ±1 0°,Φ300,T>99.80%,40-20,PV<1/4,">29J/cm  2  @ 1064nm,3ns"
800&1064,θ±1 0°,Φ600,T>99.80%,60-40,PV<1/3,">29J/cm  2  @ 1064nm,3ns"
800&1064,θ±1 0°,Φ900,T>99.80%,60-40,PV<1/3,">29J/cm  2  @ 1064nm,3ns"
355&532 &1064,θ±1 0°,Φ12. 7,T>99.50%,10  -5,PV<1/1 0,">29J/cm  2  @ 1064nm,3ns"
355&532 &1064,θ±1 0°,Φ25. 4,T>99.50%,10  -5,PV<1/1 0,">29J/cm  2  @ 1064nm,3ns"
355&532 &1064,θ±1 0°,Φ50. 8,T>99.50%,10  -5,PV<1/8,">29J/cm  2  @ 1064nm,3ns"
355&532 &1064,θ±1 0°,Φ300,T>99.50%,40-20,PV<1/4,">29J/cm  2  @ 1064nm,3ns"
355&532 &1064,θ±1 0°,Φ600,T>99.50%,60-40,PV<1/3,">29J/cm  2  @ 1064nm,3ns"
355&532 &1064,θ±1 0°,Φ900,T>99.50%,60-40,PV<1/3,">29J/cm  2  @ 1064nm,3ns"
380-800,θ±1 0°,Φ12. 7,Tave>99.50 %,10  -5,PV<1/1 0,">8J/cm  2  @ 532nm,3ns"
380-800,θ±1 0°,Φ25. 4,Tave>99.50 %,10  -5,PV<1/1 0,">8J/cm  2  @ 532nm,3ns"
