产品网址：http://www.hkhonm.com/product_list/1051160347978588160-12-6.html
产品结构：root->芯片产品-产品中心-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|温度传感器芯片系列|无|无|
|温度开关芯片系列|无|无|
|温湿度传感器芯片系列|无|无|
|压力传感器系列|无|无|
|CPU 卡芯片|无|无|
|MEMS 声学传感器|无|无|
|MEMS 压力传感器|无|无|
|MEMS 惯性传感器|无|无|
|MEMS 流量传感器|无|无|
|红外热电堆传感器|无|无|
|心率传感器|无|无|
|倒装 COB 超高清 LED 显示产品|无|无|
|大功率照明解决方案产品|无|无|
|HK 机架式服务器|无|无|
|边缘计算 AI 服务器|无|无|
|塔式服务器|无|无|
|加速度传感器|无|在移动终端设备、可穿戴设备中，加速度传感器正成为一种标配器件。比如智能手机、平板电脑中，利用三轴加速度传感器实现屏幕翻转功能；在手环手表中，三轴加速度传感器可以实现计步、睡眠监测等功能；在 TWS 耳机中，三轴加速度传感器作为人机交互的接口，识别单击、双击等操作。|
|LGA 封装压力模组|无|绝压模组是一款独特 LGA 封装的压力芯片模组，其 MEMS 芯片利用自主研发的 SENSA 工艺制备，搭载专用集成电路调理芯片，具有精度高、稳定性好、优异温度补偿等优点，可根据客户需求将其封装为所需压力传感器形式，实现特定比例输出信号的标定。本系列产品在补偿温区（-40°C 至 125℃）、全量程范围内精度小于± 2.0%。差压模组是一款基于陶瓷材料的 LGA 封装形式的、高稳定性的微差压芯片模组，其 MEMS 芯片利用先进的世界通用的全硅压力传感器工艺制备，搭载专用集成电路调理芯片，具有精度高、稳定性好、优异温度补偿等优点，可根据客户需求将其封装为所需压力传感器形式，实现特定比例输出信号的标定。本系列产品在补偿温区（-40°C 至 125℃）、全量程范围内精度小于± 3.0%|
|车规级汽车压力传感器模组|无|1、高可靠性车规级 ASIC，满足 AEC-Q100 测试；2、耐温耐腐蚀封装材料；3、高灵活性 SOP、COB 封装。|
|充油隔离式压力传感器模组|无|充油介质隔离式压力传感器模组，其核心敏感原件由自主研发的高性能 MEMS 压力传感芯片搭载电桥放大标定专用集成电路调理芯片而成。压力感应模组通过不锈钢金属膜片进行介质隔离，能在各种介质下提供良好的线性模拟输出，是一款面向民用、低成本的压力传感器。|
|有创/无创呼吸机压力传感器|无|1、微差压量程可定制；2、高精度单颗温度补偿与输出校准；3、医疗级封装材质；4、可靠地长期稳定性|
|制氧机|无|硅压力传感器，可以提供精确的与外界感测压力线性相关的电压输出。这一系列具备标准封装形式的、未补偿的传感器件为用户提供了灵活的使用方式，使用户可以方便地设计与添加后续的信号处理电路。针对温度和非线性度进行的补偿，对于此系列产品是比较简单的，这是因为此系列产品性能具有高度的一致性和可重复性。之所以有这样的特性，这是由优化的器件设计、独有的传感器加工工艺所造就的。这一系列传感器芯片内部通过特殊介质与空气实现隔离，可以适用于潮湿环境。|
