产品网址：http://www.hkhonm.com/product_list/1121093417321385984-66-6.html
产品结构：root->产品中心-产品中心-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|温度传感器芯片系列|无|无|
|温度开关芯片系列|无|无|
|温湿度传感器芯片系列|无|无|
|压力传感器系列|无|无|
|CPU 卡芯片|无|无|
|MEMS 声学传感器|无|无|
|MEMS 压力传感器|无|无|
|MEMS 惯性传感器|无|无|
|MEMS 流量传感器|无|无|
|红外热电堆传感器|无|无|
|心率传感器|无|无|
|倒装 COB 超高清 LED 显示产品|无|无|
|大功率照明解决方案产品|无|无|
|HK 机架式服务器|无|无|
|边缘计算 AI 服务器|无|无|
|塔式服务器|无|无|
|MEMS 压力传感器-COB 封装绝压模组|无|MEMS 芯片采用 Pt-Au Pad 和走线，抗腐蚀能力强，可以工作在恶劣的尾气环境下。产品采用陶瓷基底，PPS 上盖，并灌封全氟凝胶，可以有效地为内部芯片提供保护以免受腐蚀性气体侵蚀，可靠性大大增加。独特的 COB 封装设计，可以有效地保护焊点，且可以灵活地与客户端封装相配合，提供适合客户端应用的解决方案。|
|MEMS 压力传感器-电子血压计压力传感器|无|具有自主知识产权的 SOI/SENSA 芯片设计。标准化的、可方便表面装贴或焊接的封装形式。与市面通用产品兼容。可以做到 Pin to pin 替代。|
|板载充油压力传感器模组|无|采用完全自主研发的核心器件，零部件供应链全部本土化，真正的“中国芯”。其低成本充油方案，保证可靠性前提下拥有优秀的输出精度。模组通用设计，模组外径∅19 或∅21mm。成品定制多样化，可根据需求特定设计。|
|通用全钢充油压力传感器|无|是一类可用于表压和绝压的压力传感器。其 MEMS 芯片采用拥有专利技术的 SOI 工艺。具有场屏蔽功能，耐受电压能力优异。产品结构采用径向密封，通用性强、便于安装。|
|TO 充油类压力传感器|无|是一类采用 TO 充油方案的压力传感器。其模组小型化/扁平化设计，模组外径∅18mm，高度小于 8mm。在保证可靠性的前提下拥有优秀的输出精度。成品定制多样化，可根据需求特定设计。|
|陶瓷电容压力传感器|无|是一类具有抗腐蚀性的压力传感器。用于测量腐蚀性介质，如海水的高度测量，硫酸，硝酸，化学液体气体的压力测量等。温度范围宽-40℃~125℃, 全温区误差＜2% FS。抗过载能力强，过压可达量程的数十倍且能耐真空。纯净的陶瓷基体不会产生工艺污染，适用于食品、医药行业。|
