产品网址：http://www.hkhonm.com/cpzx/6.html?_detailId=1120679420330401792
产品结构：root->大功率照明解决方案产品-产品中心-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|温度传感器芯片系列|无|无|
|温度开关芯片系列|无|无|
|温湿度传感器芯片系列|无|无|
|压力传感器系列|无|无|
|CPU 卡芯片|无|无|
|MEMS 声学传感器|无|无|
|MEMS 压力传感器|无|无|
|MEMS 惯性传感器|无|无|
|MEMS 流量传感器|无|无|
|红外热电堆传感器|无|无|
|心率传感器|无|无|
|倒装 COB 超高清 LED 显示产品|无|无|
|大功率照明解决方案产品|无|无|
|HK 机架式服务器|无|无|
|边缘计算 AI 服务器|无|无|
|塔式服务器|无|无|
|特种照明系列投光灯|无|产品采用 2200K 钠灯色 COB 光源，让 LED 光色彻底回归传统，实现最佳的道路照明效果。该色温具有极佳的穿透力，在雾霾、雨雾天气下可保持良好路面照度，同时相对更高色温可以有效的减少光污染；整灯采用电泳加喷涂的防腐工艺处理，体积小，重量轻，防护等级达 IP65，可满足外恶劣的户外环境使用要求，产品配备防坠结构，为灯具安全使用提供保障；灯具进行了专业的光学配光设计，灯具最小出光角度可达 10°，有效的提高了灯具的光的利用效率和中心光强，满足远距离投射的照明要求。透镜材质为高硼硅玻璃耐高温、抗冲击、长期使用不会发黄老化从而影响透光率，透光率达 94%以上；产品采用相变散热技术，配合超导热材料，结合空气自然对流原理开发的超导散热器，满足高功率密度 COB 光源的散热需求，足以保证光源的正常工作和使用寿命。|
|翼芯系列固定式灯具|无|十三五”散热专利技术，业内独创高导热“液体芯散热系统和散热结构组合工艺，压铸散热一体化设计，实现外观与散热的有机整合，通道设计有效减小风阻.促进空气对流。压铸一体化的翅片设计增加了灯体散热面积。解决大功率 COB 光源的导、散热难题，实现产品快速散热，保证产品的稳定性和可靠性；单光源 COB 与传统金卤灯点光源类似，无虚影。可有效提高视觉执行度、视觉舒适度、视觉氛围性，减少因虚影所导致的作业安全问题，预防员工疲劳，减少出错和意外事故的发生几率，提升生产效率和工作质量，营造绿色、智能、健康舒适的工作环境；透镜有效的减少眩光并提高出光效率，提供舒适的照明环境，可实现精准配光，满足不同场所的多种应用需求；翼芯系列可以使用全部明芯系列的所有通用配件。两者区别在于功率的覆盖范围不一样，外观不一样。可以根据不同的功率进行选择，可以选择同样的配件。降低客户的库存成本。|
|明芯系列固定式灯具|无|十三五”散热专利技术，业内独创高导热“液体芯敬热系统和散热结构组合工艺，压铸散热一体化设计,实现外观与散热的有机整合，通道设计有效减小风阻促进空气对流。压铸一体化的翅片设计增加了灯体散热面积。解决大功率 COB 光源的导、散热难题，实现产品快速散热，保证产品的稳定性和可靠性；单光源 COB 的“无虚影”与传统金卤灯点光源类似。可有效提高视觉执行度、视觉舒适度、视觉氛围性，减少因虚影所导致的作业安全问题，预防员工疲劳.减少出错和意外事故的发生几率，提升生产效率和工作质量，营造绿色、智能、健康舒适的工作环境；配光方面使用优质的玻璃光学透镜，精准配光和防眩结构，实现适宜的照明效果。产品有多种光学配件，有用于提升遮光角度的灯罩，也有用于提升外观效果的前面罩。在安装结构方面，有适用吊链安装的软连接结构，也有适用于吊杆安装的硬连接结构。光学和安装结构，可以灵活组装成适用不同安装场所的明装筒灯嵌入式简灯和工矿灯。根据现场需要，客户可选配不同的配件，使用不同场所，减少库存风险；设计灵感来源于飞机涡轮风扇造型，采用高导热“芯”压铸散热一体化设计，实现小体积、轻量化，美观大方，提升灯体的对流散热能力。|
|睿芯系列工矿灯|无|十三五”散热专利技术，业内独创高导热“液体芯散热系统和散热结构组合工艺，解决大功率 COB 光源的导、散热难题，实现产品快速散热，保证产品的稳定性和可靠性；折反射一体式光学设计有效减少眩光并提高出光效率，提供舒适的照明光环境，可实现精准配光，满足不同场所的多种应用需求 (40°-160)玻璃光学透镜，耐高温、抗冲击、抗腐蚀、高透光率；单光源 COB 与传统金卤灯点光源类似，无虚影。可有效提高视觉执行度、视觉舒适度、视觉氛围性，减少因虚影所导致的作业安全问题，预防员工疲劳，减少出错和意外事故的发生几率提升生产效率和工作质量，营造绿色、智能、健康舒适的工作环境；可根据功能区实现照明功能实时调整和设置，实现自动故障检测、报警、定位;满足智能工厂绿色照明的需求。|
|皓芯系列 LED 隧道灯|无|压铸散热一体化设计，实现外观与散热的有机整合，通道设计有效减小风阻、促进空气对流。压铸一体化的翅片设计增加了灯体散热面积。产品使用了相变散热技术和散热结构组合工艺，解决大功率 COB 光源的导、散热难题，实现产品快速散热，保证产品的稳定性和可靠性；产品的散热灯体可以使用模块化搭配，进行不同组合。每种组合的每个模块都可以实现单独的角度调节，实现精准配光。不同组合形式可以降低成本,方便维护管理，满足隧道要求。可通过这种拼接，组成更大功率的灯；相比多光源 LED 路灯，单光源灯具照射物体不会产生任何虚影，保障夜间交通安全；灯具可预留调光接口(1-5V、1-10V、PWM)，搭配智能控制系统，实现隧道内按需照明，满足隧道内各段的亮度要求，最大限度地节约电能的同时，提高人们的视觉舒适度，营造良好的行车光环境；产品设计有轴对称和非对称配光透镜，设计有用于调节角度的齿形结构，其中齿形结构、挂臂和灯体组成乐调节结构。可以根据需求灵活使用调级结构调整角度用于不同种公路隧道的光环境要求，打造专属隧道光环境。玻璃光学透镜可实现全寿命周期“零”光衰，耐高温、抗冲击、抗腐蚀、高透光率。|
|晶芯系列 LED 隧道灯|无|相变散热技术和散热结构组合工艺，解决大功率 COB 光源的导、散热难题，实现产品快速散热，产品稳定性和可靠性极佳；可预留调光接口 (1-5V、1-10V、PWM)，搭配智能控制系统，实现隧道内按需照明，满足隧道内各段的亮度要求，最大限度地节约电能的同时，提高人们的视觉舒适度，营造良好的行车光环境；产品设计有轴对称和非对称配光，适用于多种功率隧道环境。玻璃光学透镜，耐高温、抗冲击、抗腐蚀、高透光率。相比多光源 LED 陵道灯，单光源灯具照射物体不会产生任何虚影，保障夜间交通安全；通透式设计促进空气对流、增加灯体散热面积。优良的涂装材料，耐腐蚀、耐高温。|
