产品网址：https://www.hxdkj88.com/en/product/product_show/itemid/55.html
产品结构：root->HXD1001Intelligentinfraredremotecontroldecoder,tester,detector,measuringinstrument

|产品名称|产品型号|功能描述|
|--|--|--|
|Intelligent infrared remote control decoder, tester, detector, measuring instrument|HXD1001|适用于遥控器的批量生产线检测、质量检测、维修、研究机构、家电制造商、遥控器制造商等。具有高可靠性、高精度、高速度的芯片解码分析功能，可识别多种编码格式，具有数字显示和语音提示功能，可减少测试误差，体积小，携带方便，独立使用，操作简单。支持多种测试模式，如普通模式、输入模式、有序校对模式、无序校对模式和统计模式等。|

格式名称,显示,格式名称.1,显示.1
01.uPD6121,6121,13.uPD6124(SONY),6124
02.TC9012,9012,14.SHARP(0773),SHArP
03.LC7461,7461,15.TC9148,9148
04.LC7464,7464,16.KONKA(Y261),y261
05.DVB/Pan 7051/SAMSUNG,7051,17.Victor-C8D8,U-C8d8
06.M3004,3004,18.CUSTOM6BIT,6b
07.SAA3010P,3010P,19.M50119,50119
08.SAA3010,3010,20.THOMSON RCT311,311
09.M50560,50560,21.PACE,PACE
10.M50462,50462,22.GD2000,Gd2000
11.MN6014C5D6,14C5d6,23.UPD1986,1986
12.MN6014C6D6,14cC6d6,24 .40Bit,dUb40
25.RCA,rCA,33.6124D7C13,612413
26.RCA2,rCA2,34.6124D7C8,6124C8
27.REMOCON1,recon,35.PT2268,2268
28.T36,t36,36.T0740,t0740
29.ARCHOS,ArCH,37.PPM4_32bits,pp4
30.Philips_RC_6_32Bits,rC6-32,38.Gemini_C6,G-C6
31.Philips_RC_6_20Bits,rC6-20,39.MIT_C8D8,C8d8
32.Philips_RC_6,rC6,40.2262,ifid
