产品网址：https://www.hxdkj88.com/en/product/product_list/catid/1.html
产品结构：root->Chiphardware

|产品名称|产品型号|功能描述|
|--|--|--|
|Infrared transceiver chip|HXD019D,019B,019C|无|
|Infrared transceiver module|HXD019M|无|
|Infrared measuring Ma|无|无|
|Infrared chip|HXD019C|无|
|Infrared chip|HXD019B|无|
|Infrared chip|HXD019A|无|
|TV single brand universal remote control IC, chip|HXD0114|无|
|wireless remote control IC infrared signal processing chip|HXD089|无|
|HXD0550-IRLED|无|无|
|HXD2085A Infrared receiving head|无|无|
|HXD5038-90 Plug in infrared LED lamp|无|无|
|hxd051C-IRLED Mobile phone infrared universal remote control patch lamp|无|无|
|New HXD2286 WiFi infrared|无|无|
|HXD1265-Bluetooth 4.0 Factory direct sales of new mobile phone remote controller|无|无|
|Intelligent infrared remote control decoder, tester, detector, measuring instrument|HXD1020|无|
|Intelligent infrared remote control decoder, tester, detector, measuring instrument|HXD1001|无|
|Factory direct remote control decoder board, ID decoder board|HXD1001A|无|
