产品网址：http://www.xmcastec.com/ProductDetail/2650418.html
产品结构：root->工业电源,厦门科司特电子工业有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|工业电源|无|200w ~ 500w 工业电源安规齐全。标准 1U&Flex 外壳结构。满足 80plus 铜牌要求。|

NO.,Model,PFC,Power,Dimensions,Type,Input Voltage,Application field
1,MN-P200-4078,A/PFC,200.0W,150*81.5*40.5(mm),FLEX,90  ～  264Vac,"PC,IPC"
2,MN-P250-4078,A/PFC,250.0W,150*81.5*40.5(mm),FLEX,90  ～  264Vac,"PC,IPC"
3,MN-P300-4078,A/PFC,300.0W,150*81.5*40.5(mm),FLEX,90  ～  264Vac,"PC,IPC"
4,MN-P300-4080,A/PFC,300.0W,190*81.5*40.5(mm),FLEX,90  ～  264Vac,"PC,IPC"
5,MN-P350-4080,A/PFC,350.0W,190*81.5*40.5(mm),FLEX,90  ～  264Vac,"PC,IPC"
6,MN-P400-4080,A/PFC,400.0W,190*81.5*40.5(mm),FLEX,100  ～  264Vac,"PC,IPC"
7,MN-P400-4081,A/PFC,400.0W,190*100*40.5(mm),1U,100  ～  264Vac,"PC,IPC"
8,MN-P450-4080,A/PFC,450.0W,190*81.5*40.5(mm),FLEX,100  ～  264Vac,"PC,IPC"
9,MN-P450-4081,A/PFC,450.0W,190*100*40.5(mm),1U,100  ～  264Vac,"PC,IPC"
,,,,,,,
取得安规,取得安规,,,,,,
产品认证满足  KC  、  CCC  、  UL  、  FCC  、  EAC  、  BSMI  、  CE  、  CB,产品认证满足  KC  、  CCC  、  UL  、  FCC  、  EAC  、  BSMI  、  CE  、  CB,产品认证满足  KC  、  CCC  、  UL  、  FCC  、  EAC  、  BSMI  、  CE  、  CB,产品认证满足  KC  、  CCC  、  UL  、  FCC  、  EAC  、  BSMI  、  CE  、  CB,,,,
产品系列简介,产品系列简介,,,,,,
1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,1  、产品系列以  Flex&1U  机构为主，  4078  系列  200W-300W Flex  结构，  4080  系列功率为  300W-450W,
2  、  Flex  机构，  4081  系列功率为  350W-450W 1U  结构,2  、  Flex  机构，  4081  系列功率为  350W-450W 1U  结构,2  、  Flex  机构，  4081  系列功率为  350W-450W 1U  结构,2  、  Flex  机构，  4081  系列功率为  350W-450W 1U  结构,2  、  Flex  机构，  4081  系列功率为  350W-450W 1U  结构,,,
产品特性  &  优势,产品特性  &  优势,,,,,,
产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能,产品采用全电压输入主动式  PFC  及  DC-DC  模块化设计，效率符合  80Plus  铜牌。标准的工业机箱安装尺寸要求。完整的保护功能
"设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。","设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。","设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。","设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。","设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。","设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。","设计要求  OVP,OCP,OPP,OLC,OTP  产品兼容所有工业主板，满足环境  50  度情况下使用。",
应用范围,应用范围,,,,,,
应用于工控设备等,应用于工控设备等,,,,,,
