产品网址：http://www.xmcastec.com/ProductDetail/2650412.html
产品结构：root->适配器,厦门科司特电子工业有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|适配器|无|2.5w~150w 适配器/充电器系列产品，应用于无绳电话、机顶盒、小家电、Pad、笔记本电脑、打印机和电视，已取得 3C、UL、CE、CB、KC、FCC、BsmI、TUV、IRAM 等认证|

NO.,Series,Model,Power,Dimensions,Type,Input Voltage,Application field
1,2.5W,MN0063-C060040,2.5W,L55*W25.3*H42,WALL MOUNT,100~240Vac,IT/AV
2,6W,MN0063-L050120,6W,L55*W25.3*H42,WALL MOUNT,100~240Vac,IT/AV
3,6W  系列,MN0063-C120050,6W,L55*W25.3*H42,WALL MOUNT,100~240Vac,IT/AV
4,10W,MN012E-C050200,10W,L52.50*W28.20*H40.0,WALL MOUNT,100~240Vac,IT/AV
5,12W,MN012G-C120100,12W,L70.00*W50.00*H27.18,WALL MOUNT,100~240Vac,IT/AV
6,12W  系列,MN012E-C120100,12W,L52.50*W28.20*H40.0,WALL MOUNT,100~240Vac,IT/AV
7,15W,MN012G-C050300,12W,L70.00*W50.00*H27.18,WALL MOUNT,100~240Vac,IT/AV
8,18W  系列,MN018A-C240075,18W,L61.9*W28.54*H39.35,WALL MOUNT,100~240Vac,IT/AV
8,18W  系列,MN018A-C120150,18W,L61.9*W28.54*H39.35,WALL MOUNT,100~240Vac,IT/AV
9,24W  系列,MN024F-C240100,24W,L81.3*W47.6*H39.40,WALL MOUNT,100~240Vac,IT/AV
9,24W  系列,MN024F-C120200,24W,L81.3*W47.6*H39.40,WALL MOUNT,100~240Vac,IT/AV
10,36W  系列,MN0366-C180200,36W,L81.3*W47.6*H39.40,WALL MOUNT,100~240Vac,IT/AV
10,36W  系列,MN0366-C120300,36W,L81.3*W47.6*H39.40,WALL MOUNT,100~240Vac,IT/AV
11,60W  系列,MN0608-C240250,60W,L119.5*W55.2*H32.9,DESK-TOP,100~240Vac,IT/AV
11,60W  系列,MN0608-C120500,60W,L119.5*W55.2*H32.9,DESK-TOP,100~240Vac,IT/AV
,,,,,,,
取得安规,取得安规,,,,,,
