产品网址：http://www.xmcastec.com/ProductDetail/2650417.html
产品结构：root->新能源电源,厦门科司特电子工业有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|新能源电源|无|与多家知名车辆设计商及制造商合作，提供系列化车载电源产品|

NO.,Model,PFC,Power,Dimensions,Battery,Input Voltage,Application field
1,ELH2415-230,A/PFC,240.0W,195*145*80(mm),24V,200  ～  240Vac,Battery Charge
2,ELH2435-230,A/PFC,480.0W,195*145*80(mm),24V,200  ～  240Vac,Battery Charge
3,ELH2435-115,A/PFC,480.0W,195*145*80(mm),24V,100  ～  130Vac,Battery Charge
4,SLH300,A/PFC,480.0W,262*182*102.5(mm),24V,200  ～  240Vac,Battery Charge
5,LM2440-E230,A/PFC,480.0W,331*261.5*81(mm),24V,200  ～  240Vac,Battery Charge
6,LM24120-D400,A/PFC,600.0W,331*261.5*81(mm),24V,400Vac,Battery Charge
7,LM4860-D400,A/PFC,1200.0W,331*261.5*81(mm),48V,400Vac,Battery Charge
8,LM8040-D400,A/PFC,2000.0W,331*261.5*81(mm),80V,400Vac,Battery Charge
,,,,,,,
取得安规,取得安规,,,,,,
"产品认证满足  UL,FCC,CE","产品认证满足  UL,FCC,CE","产品认证满足  UL,FCC,CE",,,,,
产品系列简介,产品系列简介,,,,,,
功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,功率从  240W~2000W  布局齐全，输出电压有  24V  、  48V  及  80V  系列，多种结构符合较多设备,
产品特性  &  优势,产品特性  &  优势,,,,,,
1  、符合最新能效设计要求，交流全范围电压输入,1  、符合最新能效设计要求，交流全范围电压输入,1  、符合最新能效设计要求，交流全范围电压输入,1  、符合最新能效设计要求，交流全范围电压输入,,,,
2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,2  、满足安规要求，小尺寸方便组装。输出保护功能完善，低功耗，高效率，小体积设计,
3  、充电器可安装在车库、汽车经销商处、汽车维修点或是户外。,3  、充电器可安装在车库、汽车经销商处、汽车维修点或是户外。,3  、充电器可安装在车库、汽车经销商处、汽车维修点或是户外。,3  、充电器可安装在车库、汽车经销商处、汽车维修点或是户外。,3  、充电器可安装在车库、汽车经销商处、汽车维修点或是户外。,,,
应用范围,应用范围,,,,,,
应用于新能源汽车充电,应用于新能源汽车充电,,,,,,
