产品网址：http://www.xmcastec.com/ProductDetail/3081014.html
产品结构：root->充电器,厦门科司特电子工业有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|充电器|无|2.5W-75W 系列产品主要用于数码产品、手机、共享充电、PAD、快充等，产品已通过 CCC、PSE、UL、CE、GS、CB 等相关认证|

NO.,Series,Model,Power,Dimensions,Type,Input Voltage,Application field
1,5W USB-A,MN005G-C050100,5W,L55*W25.3*H42,WALL MOUNT,100~240Vac,IT/AV
2,5W USB-A,The MN-A505-C120,5W,L49.42*W37.09*H23.32,WALL MOUNT,100~240Vac,IT/AV
3,10W USB-A,MN0103-C050200,10W,L43.20*W35.35*H21.30,WALL MOUNT,100~240Vac,IT/AV
4,12W Type-C,MN0127-L005240,12W,L43.20*W35.35*H21.30,WALL MOUNT,100~240Vac,IT/AV
5,30W  单口  Type-C,MN0306-C200150,30W,L52.50*W42.50*H23.00,WALL MOUNT,100~240Vac,IT/AV
6,29W  单口  Type-C,MN0291-C145200,29W,L52.50*W42.50*H23.00,WALL MOUNT,100~240Vac,IT/AV
7,30W Type-C+ USB-A  双口输出,MN0305-C200150,30W,L58*W58*H28,WALL MOUNT,WALL MOUNT,IT/AV
8,45W Type-C+ USB-A  双口输出,MN0451-C200225,45W,L60*W60*H28,WALL MOUNT,WALL MOUNT,IT/AV
,,,,,,,
取得安规,取得安规,,,,,,
产品认证满足  KC  、  CCC  、  UL  、  FCC  、  BSMI  、  CE  、  CB  、  PSE  、  IND,产品认证满足  KC  、  CCC  、  UL  、  FCC  、  BSMI  、  CE  、  CB  、  PSE  、  IND,产品认证满足  KC  、  CCC  、  UL  、  FCC  、  BSMI  、  CE  、  CB  、  PSE  、  IND,,,,,
产品系列简介,产品系列简介,,,,,,
"1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；",,,
