产品网址：http://www.xmcastec.com/ProductDetail/2931858.html
产品结构：root->不间断电源,厦门科司特电子工业有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|不间断电源|150w-500w|主要应用于 POS 机，安防、工程绘图设计等怕停电应用场合。支持 RS232,485,USB 等软件通讯接口|

NO.,Part Number,PFC,Power,Dimensions,Battery,Type,Input Voltage,Input Voltage.1,Application field,Application field.1
1,MN-P200-8046,A/PFC,200.0W,260.0W,12V,PS/2,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,Industry","IDC  ，  IPC,Server,PC,Industry"
2,MN-P250-8046,A/PFC,250.0W,325.0W,12V,PS/2,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,Industry","IDC  ，  IPC,Server,PC,Industry"
3,MN-P150-8110,A/PFC,150.0W,150*80*65,12V,TFX,100  ～  240Vac,100  ～  240Vac,"IPC  ，  POS,Industry","IPC  ，  POS,Industry"
4,MN-P200-4049,A/PFC,200.0W,200*100*40,12V,1U,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,POS,Industry","IDC  ，  IPC,Server,PC,POS,Industry"
5,MN-P300-8046,A/PFC,300.0W,150*140*86,12V,PS/2,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,Industry","IDC  ，  IPC,Server,PC,Industry"
6,MN-P300-4049,A/PFC,300.0W,200*100*40,12V,1U,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,POS,Industry","IDC  ，  IPC,Server,PC,POS,Industry"
7,MN-P400-8027,A/PFC,400.0W,175*150*86,12V,PS/2,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,Medical,Industry","IDC  ，  IPC,Server,PC,Medical,Industry"
8,MN-P500-8027,A/PFC,500.0W,175*150*86,24V,PS/2,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,Medical,Industry","IDC  ，  IPC,Server,PC,Medical,Industry"
9,ME-P400-4035,A/PFC,400.0W,300*100*40,24V,1U,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,POS,Industry","IDC  ，  IPC,Server,PC,POS,Industry"
10,ME-P500-4035,A/PFC,500.0W,300*100*40,24V,1U,100  ～  240Vac,100  ～  240Vac,"IDC  ，  IPC,Server,PC,POS,Industry,military products","IDC  ，  IPC,Server,PC,POS,Industry,military products"
,,,,,,,,,,
取得安规,取得安规,,,,,,,,,
"产品认证满足  CB,CE","产品认证满足  CB,CE",,,,,,,,,
产品系列简介,产品系列简介,,,,,,,,,
