产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/898.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|--|--|--|
|WiFi|TC-H333N|·Plastic housing<br>·S+265/H.265/H.264B/H.264M/H.264H<br>·Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR<br>·IR Range 50m<br>·Built-in Mic, Built-in Speaker<br>·Support microSD/microSDHC/microSDXC card, up to 512 GB<br>·Support Smart surveillance<br>·Operating Conditions -30℃~60℃(No turning on the light), Humidity 95% or less (no condensation)<br>·DC12V±25%,MAX 12W<br>·IP66|

Camera,Unnamed: 1
Image Sensor,"1/2.9""CMOS"
Min. Illumination,"Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR"
Shutter Time,1s~1/100000s
Day&Night,IR-cut filter with auto switch (ICR)
WDR,DWDR
S/N,>38dB
Angle Adjustment,0-294°; 0-90°
Lens,
Lens Type,Fixed focal lens
Focal Length,4mm
Lens Mount,M12
Aperture Range,F1.6
Field of View,81.6°(H); 43.1°(H); 94.2°(H)
DORI Distance,Detect:57.14m Observe:22.68m Recognize:11.43m Identify:5.71m
Illuminator,
IR LEDs,6
IR Distance,50m
Wavelength,850nm
White LEDs,6
Whitelight Distance,15m
Compression Standard,
Video Compression,S+265/H.265/H.264B/H.264M/H.264H
Video Bit Rate,32k~4Mbps
Audio Compression,G.711A/G.711U
Audio Sampling Rate,8kHz/16kHz
Image,
Max. Resolution,2304×1296@20fps
Main Stream,"PAL:20fps(2304×1296, 1920×1080, 1280×720, 640×480, 704×576) NTSC:20fps(2304×1296, 1920×1080, 1280×720, 640×480, 704×480)"
Sub Stream,"PAL:20fps(704×576, 704×288, 640×360, 352×288, 800×488) NTSC:20fps(704×480, 704×240, 640×360, 352×240, 800×488)"
BLC,Yes
HLC,Yes
AGC,Yes
3D DNR,Yes
White Balance,Auto/Semi-Auto/Manual/Sunshine/Nature Light/Warmlight Lamp/Daylight Lamp/Filament Lamp/Lock White Balance
OSD,"Overlay of additional characters in 1 regions, 1 line, with a maximum of 48 characters or 16 Chinese characters per region; 16*16/32*32"
Privacy Mask,4 black static areas
Defog,Yes
Feature,
Alarm Trigger,Disk Full; Disk R/W Error; IP Address Conflict
Linkage Method,trigger sound; trigger warmlight; trigger recording; trigger capture; notify surveillance center
Auto-Tracking,Auto-Tracking
Network,
Protocols,HTTP; TCP/IP; UDP; ICMP; DHCP; DNS; NTP; IPv4; SSH; Unicast; RTSP; FTP
System Compatibility,ONVIF Profile S/T; CGI; Milestone
Remote Connection,≤2
Client,Easy7 Smart Client
Moblie Client,EasyLive Plus
Wi-Fi,
Transmission distance,Up tp 30m( based on actual environment)
Wireless standard,IEEE802.11b/ 802.11g/802.11n
Frequency range,2.4 GHz ~ 2.4835 GHz
Channel bandwidth,20/40MHz
Wi-Fi security,WPA-PSK/WPA2-PSK
Interface,
Communication Interface,"1*RJ-45,10/100 Mbps self-adaptive Ethernet port"
Reset Button,Yes
On-board storage,"Support microSD/microSDHC/microSDXC card, up to 512 GB"
General,
Web Client Language,3 languages Simple Chinese/English/Vietnamese
Operating Temperature,-30℃~60℃(No turning on the light)
Operating Humidity,Humidity 95% or less (no condensation)
Storage Temperature,-30℃~60℃
Storage Humidity,Humidity 95% or less (no condensation)
Power Supply,"DC12V±25%,MAX 12W"
Protection,Surge4000V; ESD6000V; IP66
Boundary Dimensions,138(L)112(W)173(H)mm
Package Dimensions,160(L)160(W)205(H)mm
GrossWeight,0.67kg


Date,Title,Type
2024-04-07,1D.20010.020626_TC-H333N I5WCWIFI4mmV4.2_en,pdf
