产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/928.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|Network Camera|Lite|4MP Fixed Color Maker Bullet Camera（colormaker），TC-C34UV，Spec:W/E/Y/M/S/4mm，Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.0001Lux@(F1.0,AGC ON),B/W:0Lux with IR，Built-in Mic，Support microSD/microSDHC/microSDXC card, up to 512 GB，Support Smart surveillance，Support Human/Vehicle Classification，Operating Conditions -40℃~65℃(No turning on the light), Humidity 95% or less (no condensation)，DC12V±25%,MAX 8.0W, POE 802.3af,MAX 9.0W，IP67|

Camera,Unnamed: 1
Image Sensor,"1/1.8""CMOS"
Min. Illumination,"Color:0.0001Lux@(F1.0,AGC ON),B/W:0Lux with IR"
Shutter Time,1s~1/100000s
WDR,120dB
S/N,>46dB
Angle Adjustment,0~360°(P); 0~90°(T); 0~360°(R)
Lens,
Lens Type,Fixed focal lens
Focal Length,4mm
Lens Mount,M16
Aperture Range,F1.0
Field of View,94.5°(H); 50.2°(V); 110.2°(D)
DORI Distance,Detect:80m Observe:31.7m Recognize:16m Identify:8m
Illuminator,
White LEDs,4
Whitelight Distance,15m
Compression Standard,
Video Compression,S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG
Video Bit Rate,32k~16Mbps
Audio Compression,G.711A/G.711U/ADPCM_D/AAC_LC
Audio Sampling Rate,8kHz/32kHz/48kHz
Image,
Max. Resolution,2688×1520@25fps
Main Stream,"PAL:25fps(2688×1520, 2560×1440, 2304×1296), 50fps(1920×1080, 1280×720) NTSC:30fps(2688×1520, 2560×1440, 2304×1296), 60fps(1920×1080, 1280×720)"
Sub Stream,"PAL:25fps(704×576, 704×288, 352×288, 640×360) NTSC:30fps(704×480, 704×240, 352×240, 640×360)"
Third Stream,"PAL:25fps(1280×720, 704×576, 704×288, 352×288) NTSC:30fps(1280×720, 704×480, 704×240, 352×240)"
BLC,Yes
HLC,Yes
AGC,Yes
3D DNR,Yes
White Balance,Auto/Semi-Auto/Manual/Sunshine/Nature Light/Warmlight Lamp/Daylight Lamp/Filament Lamp/Lock White Balance
ROI,8 rectangular static areas
Corridor mode,Yes
OSD,"Overlay of additional characters in 5 regions, 2 lines, with a maximum of 127 characters or 42 Chinese characters per region; 16*16/32*32/48*48/64*64/96*96"
Picture Overlay,1*200x200 size BMP 24 color bit image overlay
Privacy Mask,4 black static areas
Defog,Yes
Feature,
Alarm Trigger,Motion Detection; Mask Alarm; Voltage Alarm; Disk Full; Disk R/W Error; IP Address Conflict; MAC Address Conflict; FTP Server Exception
Linkage Method,send email; trigger recording; trigger capture; notify surveillance center
Video Analytics,Human/Vehicle Classification; Tripwire; Perimeter
Rules of behavior analyse in 1 scene,7
Network,
ANR,Yes
Protocols,HTTP; HTTPS; TCP/IP; UDP; UPnP; ICMP; IGMP; SNMP; DHCP; DNS; DDNS; Easy DDNS; NTP; SMTP; SSL; 802.1X; QoS; IPv4; IPv6; PPPOE; SSH; Unicast; Multicast; RTCP; ARP; RTP; SRTP; RTSP; FTP; SFTP; NAS
System Compatibility,ONVIF Profile S/T/G/M; CGI; Milestone; RTMP
Remote Connection,≤7
Client,Easy7 Smart Client
Moblie Client,EasyLive Plus
Interface,
Communication Interface,"1*RJ-45,10/100 Mbps self-adaptive Ethernet port"
Reset Button,Yes
On-board storage,"Support microSD/microSDHC/microSDXC card, up to 512 GB"
RTC,Yes
General,
Web Client Language,19 languages Simple Chinese/Traditional Chinese/English/Spanish/Korean/Italian/Turkish/Russian/Thai/French/Polish/Dutch/Hebrew/Arabic/Vietnamese/German/Ukrainian/Portuguese/Albanian
Operating Temperature,-40℃~65℃(No turning on the light)
Operating Humidity,Humidity 95% or less (no condensation)
Storage Temperature,-40℃~65℃
Storage Humidity,Humidity 95% or less (no condensation)
Power Supply,"DC12V±25%,MAX 8.0W; POE 802.3af,MAX 9.0W"
Protection,Surge4000V; ESD6000V; IP67
Boundary Dimensions,239(L)90(W)90(H)mm
Package Dimensions,280(L)125(W)140(H)mm
GrossWeight,1.28kg


Date,Title,Type
2024-04-07,1D.20010.020859_TC-C34UV WEYMS4mm_en,pdf
