产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/detail/id/629.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|네트워크 비디오 레코더|라이트|H.265 1HDD 20ch NVR，支持 S+265/H.265/H.264 视频格式，可连接第三方网络摄像机，支持高达 8MP 分辨率的实时查看、存储和回放，1×HDMI 和 1×VGA 同时输出，HDMI 视频输出高达 4K 分辨率，1 个 SATA 接口，1 个 HDD 高达 10TB，S+265 压缩有效减少存储空间和成本高达 75%，1×RJ45 自适应 10/100Mbps 网络接口，可集中管理 IP 摄像机，包括配置、信息导入/导出、实时信息显示、升级等，可连接 Tiandy 的智能 IP 摄像机，实现 VCA 报警的记录、回放和备份，支持 VCA 检测报警，Web6 支持无插件浏览，可在所有浏览器上预览视频，支持云升级|

Input,Unnamed: 1
Video Input,20-ch
Max Resolution,8MP
Two-way Audio Input,"1-ch, 3.5mm"
Bandwidth,Income 80Mbps; Outgoing 80Mbps
Output,
HDMI/VGA Output,"HDMI 1-ch, 3840x2160, 1920×1080, 1280×720, 1024×768, 1366×768, 1440×900, 1280×800"
HDMI/VGA Output,"VGA 1-ch, 1920×1080, 1280×720, 1024×768, 1366×768, 1440×900, 1280×800"
Screen Split,1/3/4/5/6/7/8/9/10/12/13/16/20A/20B
Audio Output,1×RCA
Decoding,
Decoding Format,S+265/H.265/H.264
Recording Resolution,8MP/6MP/5MP/4MP/3MP/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF
Preview Capability,"2×8MP, 2×6MP, 3×5MP, 4×4MP, 5×3MP, 8×1080P, 16×720P, 20×4CIF"
Synchronous Playback,"2×8MP, 2×6MP, 3×5MP, 4×4MP, 5×3MP, 8×1080P"
Records Encryption,Yes
Hard Disk,
SATA,1 SATA interface for 1 HDDs
Capacity,Up to 10TB for each HDD
eSATA Interface,
Array Type,
External Interface,
Network Interface,1×RJ45 self-adaptive 10/100 Mbps network interface
USB Interface,2×USB 2.0
Serial Interface,
Alarm In/Out,4/1
Network,
Protocol,"HTTP, HTTPS, TCP/IP, UDP, UPnP, ICMP, IGMP, DHCP, DNS, DDNS, EasyDDNS, NTP, SMTP, SSL, QoS, IPv4, IPv6, IP Filter, Telnet, SSH, RTSP, RTP, RTCP, ARP, SNMP(v1), PPPOE"
System Compatibility,"ONVIF (PROFILE S/T/G), SDK, P2P"
General,
Web Version,Web6
Language,"Simplified Chinese, Traditional Chinese, English, Spanish, Italian, Korean, Turkish, Russian, Thai, French, Hebrew, Polish, Dutch, Arabic, Vietnamese, German, Ukrainian"
Operating Conditions,"-10～55℃, 10%~90% RH"
Power Supply,DC12V 3.3A
Consumption  (without HDD),≤10W
Chassis,1U
Dimensions,"44×255×231mm, (1.78×10.04×9.09 inch)"
Weight (without HDD),0.9Kg (1.98lb)


날짜,제목,유형
2022-12-20,TC-R3120 Spec-I-B-K-V3.1,pdf
