产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/detail/id/576.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|네트워크 카메라 프로|TC-C32US|Full Metal Housing<br>Motorized Lens 2.7-13.5mm<br>Up to 1920x1080@30fps<br>S+265/H.265/H.264<br>Min. illumination Color: 0.002Lux@F1.6<br>Smart IR, IR Range: 80m<br>Support tripwire and perimeter<br>Built-in Mic, SD Card Slot, Reset Button<br>Audio I/O 1/1, Alarm I/O 1/1<br>Operating Conditions -35℃~60℃, 0~95% RH<br>POE, IP67|

Camera,Unnamed: 1
Image Sensor,"1/2.8"" CMOS"
Signal System,PAL/NTSC
Min. Illumination,"Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR"
Shutter Time,"1s to 1/100,000s"
Day & Night,Dual IR Cut Filter with Auto Switch
WDR,120dB
Angle Adjustment,"Bracket,pan 0~360°,tilt 0~75°,roate 0~360°"
Lens,
Lens Type,Motorized
Focus,2.7-13.5mm
Lens Mount,Φ14
Aperture,F1.6
FOV,Horizontal field of view:96.4°~31.4°；Vertical field of view:53.5°~17.7°
Illuminator,
IR LEDs,4
IR Range,Up to 80m
Wavelength,850nm
White LEDs/Warmlights,
Compression Standard,
Video Compression,S+265/H.265/H.264
Video Bit Rate,32Kbps~8 Mbps
Audio Compression,G.711A/G.711U/ADPCM_D
Audio Bit Rate,"8K,32K,48Kbps"
Image,
Max. Resolution,1920x1080
Main Stream,"PAL:25fps(1920x1080,1280x720,704x576,640x480)"
,"NTSC:30fps(1920x1080,1280x720,704x480,640x480)"
Sub Stream,"PAL:25fps(704x576,704x288,640x360,352x288)"
,"NTSC:30fps(704x480,704x240,640x360,352x240)"
Third Stream,"PAL:25fps(704x576,704x288,352x288)  NTSC:30fps(704x480,704x240,352x240)"
Image Setting,"Saturation,brightness,contrast,sharpness,adjustable by client software or web browser"
Image Enhancement,BLC/3D DNR/HLC
ROI,Support 8 fixed regions of coding
OSD,"16x16,32x32,48x48,64x64,adaptable size,Letters Such as Week,Date,Time,Total 5 Regions"
Picture Overlay,Yes
Privacy Mask,"Yes,4 regions"
Smart Defog,Yes
Feature,
Alarm Trigger,"Motion Detection,Mask Alarm,IP Address Conflict"
Video Analytics,"Tripwire,Perimeter,Human/Vehicle Classification"
Early Warning(EW),
Network,
ANR,Yes(Only Support Tiandy ANR NVR)
Protocols,"HTTP,HTTPS,TCP/IP,UDP,UPnP,ICMP,IGMP,SNMP,DHCP,DNS,DDNS,Easy DDNS,NTP,SMTP,802.1X,QoS,IPv4,IPv6,PPPOE,SSH,Multicast,RTCP,ARP,RTSP,SRTP"
System Compatibility,"ONVIF(PROFILE S/T/G),SDK,CGI,Milestone,P2P"
Remote Connection,2
Client,"Easy7,EasyLive Plus"
Web Version,Web6
Interface,
Communication Interface,1 RJ45 10M/ 100M self adaptive Ethernet port
Audio I/O,"1/1,Mic in"
Alarm I/O,1/1
Speaker,
Reset Button,Yes
On-board storage,"Built-in MicroSD card slot,up to 512 GB"
General,
Web Client Language,"17 languages  English,Russian,Spanish,Korean,Italian,Turkish,Simple Chinese,Traditional Chinese,Thai,French,Polish,Dutch,Hebraism,Arabic,Vietnamese,German,Ukrainian"
Operating Conditions,"-35℃~65℃ ,0～95% RH"
Power Supply,"DC 12V±25%,PoE(802.3af)"
Power Consumption,MAX:9W(12V) MAX:10W(PoE)
Protection,IP67
Heater,
Dimensions,239x90x90mm(9.41x3.54x3.54inch)
GrossWeight,1.28Kg(2.82lb)
NetWeight,0.92Kg(2.02lb)


날짜,제목,유형
2022-12-12,TC-C32US Spec-I8-A-E-Y-M-S-H-2.7-13.5mm-4.0,pdf
