产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/740.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|Network Camera|Spark|4MP Fixed Turret Camera，TC-C34XN，Spec:I3/E/Y/2.8mm/V5.0，Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR，IR Range 30m，Built-in Mic，Support Smart surveillance，Operating Conditions -30℃~60℃(No turning on the light), Humidity 95% or less (no condensation)，POE 802.3af,MAX 6W|

Camera,Unnamed: 1
Image Sensor,"1/3""CMOS"
Min. Illumination,"Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR"
Shutter Time,1s~1/100000s
Day&Night,IR-cut filter with auto switch (ICR)
WDR,DWDR
S/N,>40dB
Angle Adjustment,0~340°(P); 0~75°(T); 0~360°(R)
Lens,
Lens Type,Fixed focal lens
Focal Length,2.8mm
Lens Mount,M12
Aperture Range,F1.6
Field of View,92.8°(H); 52.2°(V); 106.5°(D)
DORI Distance,Detect:56m Observe:22.2m Recognize:11.2m Identify:5.6m
Illuminator,
IR LEDs,2
IR Distance,30m
Wavelength,850nm
Compression Standard,
Video Compression,S+265/H.265/H.264B/H.264M/H.264H
Video Bit Rate,32k~6Mbps
Audio Compression,G.711A/G.711U
Audio Sampling Rate,8kHz
Image,
Max. Resolution,2560×1440@20fps
Main Stream,"PAL:20fps(2560×1440, 2304×1296, 1920×1080, 1280×720) NTSC:20fps(2560×1440, 2304×1296, 1920×1080, 1280×720)"
Sub Stream,"PAL:20fps(704×576, 704×288, 352×288, 640×360) NTSC:20fps(704×480, 704×240, 352×240, 640×360)"
BLC,Yes
HLC,Yes
AGC,Yes
3D DNR,Yes
White Balance,Auto/Semi-Auto/Manual/Sunshine/Nature Light/Warmlight Lamp/Daylight Lamp/Filament Lamp/Lock White Balance
OSD,"Overlay of additional characters in 1 regions, 1 line, with a maximum of 48 characters or 16 Chinese characters per region; 16*16/32*32/48*48/64*64"
Privacy Mask,4 black static areas
Defog,Yes
Feature,
Alarm Trigger,Motion Detection; IP Address Conflict
Linkage Method,trigger capture
Network,
Protocols,HTTP; TCP/IP; UDP; ICMP; DHCP; DNS; NTP; IPv4; Telnet; Unicast
System Compatibility,ONVIF Profile S/T; CGI; Milestone
Remote Connection,≤2
Client,Easy7 Smart Client
Moblie Client,EasyLive Plus
Interface,
Communication Interface,"1*RJ-45,10/100 Mbps self-adaptive Ethernet port"
General,
Web Client Language,12 languages English/Spanish/Italian/Turkish/Russian/Thai/French/Polish/Arabic/Vietnamese/Portuguese/Japanese
Operating Temperature,-30℃~60℃(No turning on the light)
Operating Humidity,Humidity 95% or less (no condensation)
Storage Temperature,-30℃~60℃
Storage Humidity,Humidity 95% or less (no condensation)
Power Supply,"POE 802.3af,MAX 6W"
Protection,Surge4000V; ESD6000V
Boundary Dimensions,117(L)117(W)96(H)mm
Package Dimensions,140(L)140(W)120(H)mm
GrossWeight,0.34kg


Date,Title,Type
2024-04-03,1D.20010.020052_TC-C34XN I3EY2.8mmV5.0_en,pdf
