产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/detail/id/631.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|POE NVR|TC-R3110|支持 S+265/H.265/H.264 视频格式，可连接第三方网络摄像机，支持高达 8MP 分辨率的实时查看、存储和回放；具有 1×HDMI 和 1×VGA 同步输出，HDMI 视频输出高达 4K 分辨率；1 个 SATA 接口，1 个 HDD 最大支持 10TB；S+265 压缩可有效减少高达 75%的存储空间和成本；1×RJ45 自适应 10/100Mbps 网络接口，8×RJ45 自适应 10/100Mbps 网络接口的 PoE 端口；支持多种应用，包括 IP 摄像机的集中管理、智能 IP 摄像机的连接、VCA 检测报警等；Web6 支持无插件浏览，可在所有浏览器上预览视频；支持云升级|

Input,Unnamed: 1
Video Input,10-ch
Max Resolution,8MP
Two-way Audio Input,"1-ch, 3.5mm"
Bandwidth,Income 80Mbps; Outgoing 80Mbps
Output,
HDMI/VGA Output,"HDMI 1-ch, 3840x2160, 1920  ×1080, 1280×720, 1024×768, 1366×768, 1440×900, 1280×800"
HDMI/VGA Output,"VGA 1-ch, 1920  ×1080, 1280×720, 1024×768, 1366×768, 1440×900, 1280×800"
Screen Split,1/3/4/5/6/7/8/9/10
Audio Output,1  ×RCA
Decoding,
Decoding Format,S+265/H.265/H.264
Recording Resolution,8MP/6MP/5MP/4MP/3MP/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF
Preview Capability,"2  ×8MP, 2×6MP, 3×5MP, 4×4MP, 5×3MP, 8×1080P, 10×720P, 10×4CIF"
Synchronous Playback,"2  ×8MP, 2×6MP, 3×5MP, 4×4MP, 5×3MP, 8×1080P"
Records Encryption,Yes
Hard Disk,
SATA,1 SATA interface for 1 HDDs
Capacity,Up to 10TB for each HDD
eSATA Interface,
Array Type,
External Interface,
Network Interface,1  ×RJ45 self-adaptive 10/100 Mbps network interface
USB Interface,2  ×USB 2.0
Serial Interface,
Alarm In/Out,4/1
Network,
Protocol,"HTTP, HTTPS, TCP/IP, UDP, UPnP, ICMP, IGMP, DHCP, DNS, DDNS, EasyDDNS, NTP, SMTP, SSL, QoS, IPv4, IPv6, IP Filter, Telnet, SSH, RTSP, RTP, RTCP, ARP, SNMP(v1), PPPOE"
System Compatibility,"ONVIF (PROFILE S/T/G), SDK, P2P"
POE,
POE Interface,8  ×RJ45 self-adaptive 10/100 Mbps network interface
Power per POE Port,30W
Max Current per POE Port,600mA
General,
Web Version,Web6
Language,"Simplified Chinese, Traditional Chinese, English, Spanish, Italian, Korean, Turkish, Russian, Thai, French, Hebrew, Polish, Dutch, Arabic, Vietnamese, German, Ukrainian"
Operating Conditions,"-10  ～55℃, 10%~90% RH"
Power Supply,"DC48V, 1.875A"
Consumption  (without HDD),≤20W
Chassis,1U
Dimensions,"44  ×255×231mm, (1.78×10.04×9.09 inch)"
Weight (without HDD),1Kg (2.2lb)


날짜,제목,유형
2022-12-21,TC-R3110 Spec-I-B-P8-K-V3.1,pdf
