产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/detail/id/569.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP Fixed Starlight IR Dome Camera|TC-C32KS|·Metal+Plastic Housing<br>·Up to 1920x1080@30fps<br>·S+265/H.265/H.264<br>·Min. illumination Color: 0.002Lux@F1.6<br>·Smart IR, IR Range: 30m<br>·Support tripwire and perimeter<br>·Built-in Mic, SD Card Slot<br>·Operating Conditions -30℃~60℃, 0~95% RH<br>·POE, IP66, IK10|

Camera,Unnamed: 1
Image Sensor,"1/2.8"" CMOS"
Signal System,PAL/NTSC
Min. Illumination,"Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR"
Shutter Time,"1s to 1/100,000s"
Day & Night,Dual IR Cut Filter with Auto Switch
WDR,120dB
Angle Adjustment,"pan 0~330°,tilt 0~75°,roate 0~350°"
Lens,
Lens Type,Fixed
Focus,2.8mm
Lens Mount,M12
Aperture,"F1.6,Fixed"
FOV,Horizontal field of view:99.7°，Vertical field of view:55.1°，Vertical field of view:115°
Illuminator,
IR LEDs,8
IR Range,Up to 30m
Wavelength,850nm
White LEDs/Warmlights,
Compression Standard,
Video Compression,S+265/H.265/H.264
Video Bit Rate,32Kbps~6Mbps
Audio Compression,G.711A/G.711U/ADPCM_D
Audio Bit Rate,"8K,32K,48Kbps"
Image,
Max. Resolution,1920x1080
Main Stream,"PAL:25fps(1920x1080,1280x720,704x576,640x480)"
,"NTSC:30fps(1920x1080,1280x720,704x480,640x480)"
Sub Stream,"PAL:25fps(704x576,704x288,640x360,352x288)"
,"NTSC:30fps(704x480,704x240,640x360,352x240)"
Third Stream,
Image Setting,"Saturation,brightness,contrast,sharpness,adjustable by client software or web browser"
Image Enhancement,BLC/3D DNR/HLC
ROI,Support 8 fixed regions of coding
OSD,"16x16,32x32,48x48,adaptable size,Letters Such as Week,Date,Time,Total 1 Regions"
Picture Overlay,
Privacy Mask,"Yes,4 regions"
Smart Defog,Yes
Feature,
Alarm Trigger,"Motion Detection,Mask Alarm,IP Address Conflict"
Video Analytics,"Tripwire,Perimeter"
Early Warning(EW),
Network,
ANR,Yes(Only Support Tiandy ANR NVR)
Protocols,"RTSP,HTTP,TCP/IP,UDP,UPnP,ICMP,DHCP,DNS,DDNS,Easy DDNS,NTP,IPv4"
System Compatibility,"ONVIF(PROFILE S/T/G),SDK,CGI,Milestone,P2P(Mutually exclusive with Profile G)"
Remote Connection,2
Client,"Easy7,EasyLive Plus"
Web Version,Web6
Interface,
Communication Interface,1 RJ45 10M/ 100M self adaptive Ethernet port
Audio I/O,Mic in
Alarm I/O,
Speaker,
Reset Button,Yes
On-board storage,"Built-in MicroSD card slot,up to 512 GB"
General,
Web Client Language,"17 languages  English,Russian,Spanish,Korean,Italian,Turkish,Simple Chinese,Traditional Chinese,Thai,French,Polish,Dutch,Hebraism,Arabic,Vietnamese,German,Ukrainian"
Operating Conditions,"-30℃～60℃,0～95% RH"
Power Supply,PoE(802.3af)
Power Consumption,MAX:5W(PoE)
Protection,"IP66,IK10"
Heater,
Dimensions,121(L)x121(W)x90(H)mm
GrossWeight,0.61Kg(1.34lb)
NetWeight,0.4Kg(0.88lb)


날짜,제목,유형
2022-12-12,TC-C32KS Spec-I3-E-Y-C-SD-2.8mm-V4.2,pdf
