产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/498.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|全景 PTZ 摄像机|TC-H3169M|最高全景分辨率：5520×2400@25fps，细节分辨率：2560×1440@25fps；全景最低照度：0.0004lux，细节最低照度：0.001lux；支持全景：S+265/H.265/H.264/M-JPEG，细节：S+265/H.265/H.264/M-JPEG；内置 Micro SD 卡插槽，最大支持 512GB；支持全景：智能监控，细节：智能监控；支持全景：人/车分类，细节：人/车分类；工作温度：-40℃～70℃（IR 关闭），-40℃～40℃（IR 开启），0～95%；电源：DC36V±25%；防护等级：IP66|

Camera,Unnamed: 1
Image Sensor,"Panorama:1/1.8""CMOS Detail:1/1.8""CMOS"
Min. Illumination,Panorama:0.0004lux Detail:0.001lux
Shutter Time,1s~1/100000s
Day&Night,IR-cut filter with auto switch (ICR)
WDR,Panorama:DWDR Detail:120dB
Lens,
Focal Length,Panorama:2.8mm Detail:5.7mm～359mm
Optical Zoom,Panorama:N/A Detail:63X
Digital Zoom,Panorama:N/A Detail:16X
Zoom Speed,Panorama:N/A Detail:<8s
Aperture Range,Panorama:F1.0 Detail:F1.63~F4.94
Field of View,Panorama:180°±10°(H) Detail:60°～1.5°(H); Panorama:90°±10°(V) Detail:35.5°～0.87°(V); Panorama:N/A Detail:67.5°～1.77°(D)
Focus Control,Panorama: N/A Detail:Auto/Semi-auto/Manual
Iris Control,Panorama:Fixed Detail:Auto
Close Focus Distance,Panorama:200mm Detail:1000mm~3000mm
DORI Distance,Panorama: Detect:63m Observe:25m Recognize:12m Identify:6m Detail: Detect:3800m Observe:1508m Recognize:760m Identify:380m
Pan&Tilt,
Pan Range,Panorama:N/A Detail:360°
Tilt Range,Detail:-21°～90° (Default -13°～90°)
Tilt Speed,Detail: Manual Speed:0.1°～120°/s Preset: 180°/s
3D Position,Yes
Preset,500
Cruise,"16, up to 32 presets per cruise"
Scan,8
Pattern,"8, each with 600s memory or 1000 orders"
Scheduled Task,Preset、Cruise、Scan、Pattern
North Point,Yes
Power-off Memory,Yes
Preset Freezing,Yes
Illuminator,
IR LEDs,Panorama: N/A Detail:11
IR Distance,Panorama: N/A Detail:300m
Wavelength,Panorama: N/A Detail:850nm
IR Irradiation Angle,Panorama:N/A Detail:Adjustable by Zoom
White LEDs,Panorama:N/A Detail:2
Whitelight Distance,Panorama:N/A Detail:30m
Red and blue alarm flash,Yes
Laser,Panorama:N/A Detail:6
Laser Distance,Panorama:N/A Detail:500m
Compression Standard,
Video Compression,Panorama:S+265/H.265/H.264/M-JPEG Detail:S+265/H.265/H.264/M-JPEG
Video Bit Rate,Panorama:32Kbps~16Mbps Detail:32Kbps~16Mbps
Audio Compression,G.711A/G.711U/ADPCM_D/AAC_LC
Audio Sampling Rate,8KHz/32KHz/48KHz
Image,
Max. Resolution,Panorama:5520×2400@25fps Detail:2560×1440@25fps
Main Stream,"Panorama: PAL:25fps(5520×2400, 4096×1800, 3840×1680, 2784×1200) NTSC:30fps(5520×2400, 4096×1800, 3840×1680, 2784×1200) Detail: PAL:25fps(2560×1440, 2304×1296, 1920×1080, 1280×720) NTSC:30fps(2560×1440, 2304×1296, 1920×1080, 1280×720)"
Sub Stream,"Panorama: PAL:25fps(2048×896, 1280×560, 704×320) NTSC:30fps(2048×896, 1280×560, 704×320) Detail: PAL:25fps(704×576, 704×288, 352×288, 640×360) NTSC:30fp(704×480, 704×240, 352×240, 640×360)"
Third Stream,"Panorama: PAL:25fps(1280×560) NTSC:30fps(1280×560) Detail: PAL:25fps(704×576, 704×288, 352×288, 640×480) NTSC:30fps(704×480, 704×240, 352×240, 640×480)"
BLC,Yes
HLC,Yes
AGC,Yes
White Balance,Yes
ROI,"Panorama: 7 Fixed Areas for Both Main and Sub Stream Detail 7 rectangular 3D fixed focus areas, supporting 1 rectangular dynamic tracking ROI"
EIS,Panorama:N/A Detail:Yes
