产品网址：https://www.tiandy.com/product/wlqj/list_78_1.html
产品结构：root->网络球机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|500 万 6 倍超星光室外全局球|TC-A55555|无|
|1600 万 63 倍超星光 AR 全景球|TC-H5169M|配置：63X/LW/P/A/AR|
|400 万 63 倍激光警戒球|TC-H548M|配置：63X/IL/A/AR|
|500 万 44 倍热像警戒球|TC-H558M|配置：44X/IT/A/AR|
|200 万 25 倍星光全光谱警戒球|TC-H126Q|配置：25X/IW/A|
|500 万 25 倍星光红外跟踪球|TC-H156S|配置：25X/I/A|
|200 万 20 倍星光红外球|TC-H126S|配置：20X/I|
|200 万 20 倍星光红外球|TC-H124S|配置：20X/I|
|200 万 23 倍 4G 星光红外球|TC-H524S|配置：23X/I/4G|
|200 万 23 倍星光红外球|TC-H524S|配置：23X/I|
|200 万 23 倍星光红外球|TC-H526S|配置：23X/I|
|200 万 25 倍星光红外球|TC-H524S|配置：25X/I/E|
