产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/979.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|NVR|TC-R3820|·Up to 20-ch IP camera inputs<br>·Access/forwarding bandwidth at 256Mbps/256Mbps<br>·S+265, H.265, S+264, H.264 video formats<br>·16MP(30fps)×3, 12MP(30fps)×4, 8MP(30fps)×7,6MP(30fps)×9, 5MP(30fps)×11, 4MP(30fps)×14,3MP(30fps)×18, 1080P(30fps)×20 preview decoding capacity<br>·16-ch synchronous playback<br>·16MP(30fps)×3, 12MP(30fps)×4, 8MP(30fps)×6,6MP(30fps)×8, 5MP(30fps)×9, 4MP(30fps)×12,3MP(30fps)×16, 1080P(30fps)×16 playback decoding capacity<br>·Up to 18TB capacity for each HDD<br>·Simultaneous HDMI1 and VGA1 outputs; Simultaneous HDMI2 and VGA2 outputs<br>·HDMI output at up to 4K resolution<br>·2×RJ-45, 10/100/1000 Mbps self-adaptive Ethernet port<br>·S+ 265 compression effectively reduces the storage space by up to 75%<br>·Support cloud upgrade|

Video and Audio,Unnamed: 1
Access Channel,20
Incoming Bandwidth,256Mbps
Outgoing Bandwidth,256Mbps
Resolution,16MP/12MP/8MP/6MP/5MP/4MP/3MP/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF
Preview Decoding Capability,"16MP(30fps)×3, 12MP(30fps)×4, 8MP(30fps)×7, 6MP(30fps)×9, 5MP(30fps)×11, 4MP(30fps)×14, 3MP(30fps)×18, 1080P(30fps)×20, 720P(30fps)×20"
Third-party Camera Access,ONVIF; RTSP
HDMI Output,"HDMI:800×600(60Hz), 1024×768(60Hz), 1280×720(50Hz/60Hz), 1280×800(60Hz), 1366×768(60Hz), 1440×900(60Hz), 1920×1080(50Hz/60Hz), 2560×1440(30Hz/60Hz), 2560×1600(60Hz), (4K)3840×2160(30Hz/60Hz)"
Liveview display,Independent Output: HDMI1/VGA1: 1/2/3/4/5/6/7/8/9/10/12/13/16/20A/20B/25 HDMI2/VGA2: 1/2/3/4/5/6/7/8/9/10/12/13/16/20A/20B/25
VGA Output,"VGA:800×600(60Hz), 1024×768(60Hz), 1280×720(50Hz/60Hz), 1280×800(60Hz), 1366×768(60Hz), 1440×900(60Hz), 1920×1080(50Hz/60Hz)"
Multi-screen Display,1/2/3/4/5/6/7/8/9/10/12/13/16/20A/20B/25
Audio Input,"1-ch, 3.5mm"
Audio Output,"1-ch, 3.5mm; BNC"
