产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/lists/category/266.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|5MP Fixed Starlight IR Bullet Camera|TC-C35WS|·Built-in Mic, support max 512G Micro SD Card<br>·Audio I/O 1/1, Alarm I/O 1/1<br>·Operating Conditions -40℃~65℃, 0~95% RH|
|5MP Fixed Starlight IR Bullet Camera|TC-C35WS|·Support Human/Vehicle Classification<br>·Audio I/O 1/1, Alarm I/O 1/1<br>·Operating Conditions -40℃~65℃, 0~95% RH<br>·IP67|
|5MP Motorized Starlight IR Bullet Camera|TC-C35US|·Support Face Capture Mode<br>·Support Human/Vehicle Classification<br>·Audio I/O 1/1, Alarm I/O 1/1|
|5MP Fixed Starlight IR Dome Camera|TC-C35KS|·Support Human/Vehicle Classification<br>·Built-in Mic, support max 512G Micro SD Card<br>·Audio I/O 1/1, Alarm I/O 1/1<br>·DC12V,POE<br>·IP66,IK10|
|8MP Fixed EW Camera|TC-C38WQ|·Built-in Mic, SD Card Solt<br>·Operating Conditions -40°~65°, 0~95% RH<br>·DC12V,POE<br>·IP67|
|5MP Fixed EW Camera|TC-C35WQ|·Support Face Capture Mode<br>·Support Human/Vehicle Classification<br>·Built-in Mic, support max 512G Micro SD Card|
|5MP Fixed EW Camera|TC-C35XQ|·S+265/H.265/H.264/M-JPEG<br>·Min. illumination Color: 0.002Lux@F1.6<br>·Smart IR, IR Range: 30m<br>·Support tripwire and perimeter|
|5MP Starlight Motorized IR Dome Camera|TC-C35MS|·Support Human/Vehicle Classification<br>·Support Face Capture Mode<br>·Built-in Mic, audio I/O 1/1, alarm I/O 2/1|
|5MP Fixed EW Camera|TC-C35WQ|·Support Face Capture Mode<br>·Support Human/Vehicle Classification<br>·Built-in Mic, support max 512G Micro SD Card<br>·DC12V,POE|
|5MP Fixed Starlight IR Bullet Camera|TC-C35WS|·Metal+Plastic<br>·Up to 2880*1620@25fps<br>·S+265/H.265/H.264<br>·Min. illumination Color: 0.002Lux@F1.6<br>·Smart IR, IR Range: 50m|
