产品网址：https://www.tj-source.com/product/96.html
产品结构：首页->行业解决方案

|产品名称|产品型号|功能描述|
|--|--|--|
|供热锅炉节能控制系统|无|该系统针对锅炉多参数对象、多扰动、各参数交叉影响的特性，基于 JX-300XPDCS 平台，充分发挥 DCS 系统优势，将输燃控制、燃烧控制、水循环控制等多种手段作用于目标控制，解决了锅炉自动运行过程中存在的不确定性、复杂性、不稳定性以及容量滞后大和滞后时间长等问题，实现锅炉系统的精确调控和稳定运行。同时对供热锅炉系统相关设备进行一体化自动监控，确保锅炉运行的安全性、可靠性。最终达到提高燃烧效率和锅炉经济、平稳运行的目的。可为智慧供热系统提供在线监控数据接口，接入方式灵活，最终共同实现智慧城市供热系统建设。|

序号,时间,项目名称,项目内容
1,2014,天津市河北区爱贤里供热站煤改燃项目,电气、自动化项目设备提供、机电安装调试运行
2,2014,北京、内蒙古供热项目（重庆伟岸）,换热站设备提供
3,2014,唐山机车车辆厂（北车）  6  台供热锅炉改造,电气、自动化项目设备提供、机电安装调试运行
4,2015,天津市河北区新大路供热站煤改燃项目,电气、自动化项目设备提供、机电安装调试运行
5,2015,天津市河北区中山北路供热站煤改燃项目,电气、自动化项目设备提供、调试运行
6,2015,天津市北辰区大通绿岛供热站煤改燃项目,自动化项目设备提供、调试运行
7,2015,天津市北辰区万科供、换热站煤改燃项目,自动化项目设备提供、调试运行
8,2015,天津市北辰区北斗供热站煤改燃项目,自动化项目设备提供、调试运行
9,2015,天津市北辰区刘房子供热站煤改燃项目,自动化项目设备提供、调试运行
10,2015,天津市北辰区双青供热站煤改燃项目,自动化项目设备提供、调试运行
11,2015,天津市北辰区武装部供热站煤改燃项目,自动化项目设备提供、调试运行
12,2015,天津市河东区安吉花园供、换热站煤改燃项目,自动化项目设备提供、调试运行
13,2015,天津市河东区万隆花园供、换热站煤改燃项目,自动化项目设备提供、调试运行
14,2015,新疆供热项目（重庆伟岸）,换热站设备提供


序号,时间,项目名称,项目内容
15,2016,天津市西青区辛口供热站煤改燃项目,自动化项目设备提供、调试运行
16,2016,天津市河北区大悲院换热站项目,自动化项目设备提供、调试运行
17,2016,天津市北辰区  6  换热站项目,自动化项目设备提供
18,2016,天津静海科慧热力换热改造,自动化项目设备提供、调试运行
19,2016,沧州地热井供热项目,自动化项目设备提供、调试运行
20,2017,天津中心渔港彩虹苑供热站煤改燃项目,自动化项目设备提供、调试运行
21,2017,天津金厦二期供热站煤改燃项目,自动化项目设备提供、调试运行
22,2017,天津金厦一期供热站设备改造项目,自动化项目设备提供、调试运行
23,2017,天津民贤里供热站煤改燃项目,自动化项目设备提供、调试运行
