产品网址：https://www.xlsemi.com/products_DC_DC_buck_mv.html
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|降压型 DC-DC 转换器|无|输入电压从 3.6V 到 45V，输出功率最高可达 100W，具有高效率、高可靠性、高性价比等优势，覆盖绝大部分电子设备应用需求。提供专用于车载供电优化的开关电源变换芯片，最大输入工作电压可到 40V，兼容常规的车载蓄电池(轿车 12V/卡车 24V)，输出电流能力 0A~5A，系统转换效率最高可达 92%以上，内置恒压恒流控制环路模块，可满足绝大部分车载电子产品的供电应用，例如：车载充电器、行车记录仪、车载显示屏等。|

型号,产品特征,功率,输入电压,频率,开关电流,电压精度,效率,输出电压,基准电压,封装,演示版说明,规格书
XL1509Q,AEC-Q100、恒压、使能,7W,4.5~45V,150KHz,2A,±1.5%,85%,ADJ/5V,1.23V,SOP8-EP,,
XL1509,恒压、使能,6W,4.5~40V,150KHz,2A,±3%,85%,ADJ/3.3V/5V/12V,1.23V,SOP8,,
XL1507,恒压、使能,15W,4.5~40V,150KHz,3A,±3%,85%,ADJ/5V,1.23V,TO252-5L,,
XL2596S/T,恒压、使能,50W,4.5~40V,150KHz,3A,±3%,85%,ADJ/3.3V/5V/12V,1.23V,TO263-5L  TO220-5L,,
XL2576S/T,恒压、使能,50W,4.5~40V,52KHz,3A,±3%,85%,ADJ/5V/12V,1.23V,TO263-5L  TO220-5L,,
XL1410,恒压、使能、高效率,8W,3.6~28V,380KHz,2A,±3%,93%,ADJ,1.222V,SOP8,,
XL1583,恒压、使能、高效率,12W,3.6~28V,380KHz,3A,±3%,93%,ADJ,1.222V,SOP8,,
XL1513,恒压、使能、高效率,8W,3.6~28V,380KHz,2A,±3%,93%,ADJ,0.8V,SOP8,,
XL1530,恒压、使能、高效率,12W,3.6~28V,380KHz,3A,±3%,93%,ADJ,0.8V,SOP8,,
XL4003,恒压、使能、高效率,20W,5~32V,300KHz,4A,±3%,90%,ADJ,0.8V,TO252-5L,,
XL4005,恒压、使能、  高效率、大功率,100W,5~32V,300KHz,5A,±3%,90%,ADJ,0.8V,TO263-5L,,
XL4013,恒压、高效率,20W,8~36V,180KHz,4A,±2%,94%,ADJ,1.25V,TO252-5L,,
XL4015,恒压、高效率、大功率,100W,8~36V,180KHz,5A,±2%,94%,ADJ,1.25V,TO263-5L,,
XL4016,恒压、高效率、大功率,100W,8~40V,180KHz,12A,±2%,94%,ADJ,1.25V,TO220-5L,,
XL4001,恒压+恒流、使能,8W,4.5~40V,150KHz,2A,±2%,83%,ADJ,1.235V,SOP8-EP,,
XL4101,恒压+恒流,20W,4.5~40V,150KHz,3A,±3%,80%,ADJ,1.235V,TO263-5L,,
XL4201,恒压+恒流、高效率,20W,8~40V,150KHz,3A,±1.5%,92%,ADJ,1.25V,SOP8-EP,,
XL4301,恒压+恒流、  线损补偿、高效率,20W,8~40V,180KHz,3A,±1.5%,92%,ADJ,1.25V,SOP8-EP,,
XL4501,恒压+恒流、  高效率、大功率,50W,8~36V,150KHz,5A,±1.5%,92%,ADJ,1.25V,TO263-5L,,
XL2009,恒压+恒流、高效率,12W,8~36V,180KHz,3A,±2%,92%,ADJ,1.25V,SOP8,,
XL2001,USB接口专用、固定5V输  出、高效率、短路关机,10W,8~45V,150KHz,1.8A,±2%,92%,5V,-,SOP8,,
XL2011,USB接口专用、固定5V输  出、高效率、短路关机,12W,8~45V,150KHz,2.1A,±2%,92%,5V,-,SOP8,,
XL2012,USB接口专用、固定5V输  出、高效率、短路关机,12W,8~40V,150KHz,2.4A,±2%,92%,5V,-,SOP8,,
XL2013,USB接口专用、固定5V输  出、高效率、短路关机,16W,8~40V,150KHz,3.2A,±2%,92%,5V,-,TO252-5L,,
XL1508  新品！,恒压、使能、低功耗,8W,4.5~45V,150KHz,2A,±3%,88%,ADJ/3.3V/5V,1.23V,SOP8,/,/


序号,功能描述,所属应用,文件阅览
1,解决方案,技术文章,XL4301线损补偿应用指南.pdf
2,原理图、PCB布板、性能特性、纹波,方案实例,使用XL4301和NT6008设计的兼容Quick Charge 3.0的车载充电器.pdf
3,原理图、PCB布板、性能特性、纹波,方案实例,使用XL4013设计的PD车载充电器.pdf
4,典型应用电路图、系统应用设计实例、解决方案,产品设计指南,XL4XX1车充系列产品设计指南.pdf
5,典型应用电路图、系统应用设计实例、解决方案,产品设计指南,XL401X系列降压恒压产品设计指南.pdf
