产品网址：https://www.hikmicrotech.com/en/industrial-products/m-series-thermal-camera-batteries
产品结构：root->HIKMICROMSeriesThermographyThermalCameraBatteries

|产品名称|产品型号|功能描述|
|--|--|--|
|Thermal Monocular|LYNX 2.0|无|
|Thermal Monocular|LYNX S|无|
|Thermal Monocular|LYNX Pro|无|
|Thermal Monocular|FALCON|无|
|Thermal Monocular|CONDOR|无|
|Thermal Monocular|OWL|无|
|Thermal Scope|STELLAR 2.0|无|
|Thermal Scope|THUNDER ZOOM 2.0|无|
|Thermal Scope|PANTHER 2.0|无|
|Thermal Scope|THUNDER 2.0|无|
|Thermal Scope|STELLAR|无|
|Thermal Scope|PANTHER|无|
|Thermal Scope|THUNDER Pro|无|
|Thermal Clip-On|THUNDER 2.0|无|
|Thermal Clip-On|THUNDER Pro|无|
|Thermal Camera for Smartphones|EXPLORER|无|
|Digital Day&Night Vision Monocular|HEIMDAL|无|
|Digital Day&Night Vision Scope|ALPEX 4K|无|
|Digital Day&Night Vision Scope|ALPEX|无|
|Digital Day&Night Vision Scope|CHEETAH|无|
|Digital Day&Night Vision Clip-On|CHEETAH|无|
|Multi-Spectrum Monocular|GRYPHON LRF|无|
|Multi-Spectrum Binocular|HABROK 4K|无|
|Multi-Spectrum Binocular|HABROK|无|
|Multi-Spectrum Binocular|RAPTOR|无|
|Trail Camera|M15|无|
|Application|HIKMICRO Sight|无|
|IR Torch|IR Torch|无|
|IR Torch Bracket|IR Torch Bracket|无|
|Rail|Rail|无|
|Ring|Ring|无|
|Adapter|THUNDER 2.0 Adapter|无|
|Adapter|Adapter 1.0|无|
|Eyepiece|THUNDER 2.0 Eyepiece|无|
|Eyepiece|Eyepiece|无|
|Charger|THUNDER 2.0 Charger|无|
|Charger|Charger|无|
|Battery|THUNDER 2.0 Battery|无|
|Battery|Battery|无|
|Monocular Pouch|Monocular Pouch|无|
|Trail Camera Accessories|Solar Panel|无|
|Mini Series|Mini2|无|
|Mini Series|Mini2Plus|无|
|Mini Series|Mini3|无|
|Eco Series|Eco & Eco-V|无|
|Eco Series|PocketE|无|
|B Series|B Series|无|
|Pocket Series|Pocket1 & Pocket2|无|
|M Series|M Series|无|
|G Series|G Series|无|
|Gx1 Series|Gx1 Series|无|
|SP Series|SP Series|无|
|AI Series|AI56 & AI76|无|
|AD Series|AD21|无|
|FB Series|FB21|无|
|FT Series|FT31|无|
|BX Series|BX20|无|
|Cube Cameras|Cube Cameras|无|
|Box Cameras|Box Cameras|无|
|Auto-focus Box Camera|Auto-focus Box Camera|无|
|High Temperature Box Cameras|High Temperature Box Cameras|无|
|Heat-resistant Cameras|Heat-resistant Cameras|无|
|HIKMICRO Viewer|HIKMICRO Viewer|无|
|HIKMICRO Analyzer|HIKMICRO Analyzer|无|
|HIKMICRO Studio|HIKMICRO Studio|无|
|Spot Size Calculator|Spot Size Calculator|无|
|UVC Client|UVC Client|无|
|Pouches|E/B Series|无|
|Pouches|M/G/SP Series|无|
|Lenses|B Series|无|
|Lenses|Pocket Series|无|
|Lenses|G Series|无|
|Lenses|Gx1 Series|无|
|Lenses|SP Series|无|
|Batteries|M Series|无|
|Batteries|G Series|无|
|Batteries|SP Series|无|
|Chargers|M Series|无|
|Chargers|G Series|无|
|Chargers|SP Series|无|
|Brackets|Mini/Pocket Brackets|无|
|Brackets|SP Series Brackets|无|
|Sun Shield|G Series|无|
|M Series Battery|E097-13-1S1P26650|无|
