产品网址：https://www.hikmicrotech.com/en/outdoor-products/habrok-multi-spectrum-binocular
产品结构：UD35489B-A->HABROK->QSG->multilanguage->20240315.pdf

|产品名称|产品型号|功能描述|
|--|--|--|
|HIKMICRO HABROK 多光谱双目望远镜|HH35L / HH35LN|具有 384 热探测器和 4 倍放大率，LRF 可提供高达 1000m 的精确测量；获得 iF 设计和 reddot 设计奖 2024；高灵敏度热探测器，2560x1440 HD 分辨率数码相机，自开发图像算法，一体化设计，内置 IR 发射器和激光测距仪模块，经典双目紧凑设计，舒适的视觉体验，坚固的镁合金外壳设计，可更换和可充电电池，智能自动屏幕关闭功能|
|HIKMICRO HABROK 多光谱双目望远镜|HQ35L / HQ35LN|具有 640 热探测器、2560 CMOS 探测器、35mm/F1.0 镜头和 3 倍基本放大率，提供无与伦比的准确性和清晰度；获得 iF 设计和 reddot 设计奖 2024；高灵敏度热探测器，2560x1440 HD 分辨率数码相机，自开发图像算法，一体化设计，内置 IR 发射器和激光测距仪模块，经典双目紧凑设计，舒适的视觉体验，坚固的镁合金外壳设计，可更换和可充电电池，智能自动屏幕关闭功能|








