产品网址：https://cn.aoto.com/template/productShow.aspx?id=100000015575369
产品结构：当前位置：首页->产品中心->嵌入式排队机

|产品名称|产品型号|功能描述|
|--|--|--|
|嵌入式排队机|AQ2015-B|采用集中布局，一体化结构设计，嵌入安装的排队叫号设备。主要实现排队取号及叫号功能，规范网点秩序；支持磁条刷卡、身份证阅读、非接 IC 读卡、二维码扫描、人脸识别等多种身份识别方式，实现对客户的准确分类。已广泛应用于银行、政务、税务、电信运营商等营业网点。具有一体化结构设计，嵌入式安装；掉电数据保护；抗突发干扰和随机干扰能力强；低纸张堵塞概率等特点。|

类别,配置及参数
主机,工控主板，CPU 双核1.8GHz，内存2G，硬盘500G
显示器,21.5  寸
触摸屏,21.5  寸
热敏打印机,80mm  行式热敏打印
语音模块,外接8Ω/8W喇叭
无线收发模块,433MHz  无线通讯，0~7频点
磁条刷卡器,支持
身份证阅读器,支持
非接IC读卡器,支持
二维码扫描器（选配）,支持
操作系统,Linux+Windows
电源规格,AC220V  ，50Hz，可靠接地
