产品网址：https://en.tonewinner.com/products
产品结构：root->AudioPowerAmplifierFactory,StereoAmplifierManufacturers

|产品名称|产品型号|功能描述|
|--|--|--|
|Tonewinner AT-300 custom preamp 9.3.4/7.3.6 Dolby Atmos processor|AT-300|专业影院和音乐中心集成音频视频解码器，支持 4K 解码，杜比全景声、DTS:X 和 HDMI2.0 认证，可用于家庭、电影院和剧院，提供沉浸式 3D 高保真音效|
|Tonewinner wholesale AD-7300PA+ 7 channels AV power audio amplifier|AD-7300PA+|7 声道高保真放大器，专为匹配 AD-7300HD 处理器设计，具有过热、过载、过流、过压保护等多种保护功能，可为家庭影院系统提供可靠性能|
|Tonewinner 11 ch home theater theatre audio best pure power amplifier|AD-8300PA|11 声道高功率音频家庭影院放大器，具有特殊的输出功率设计，可提供 320W/8Ω 用于左、右和中声道，150W/8Ω 用于其他八个声道，采用不同电路实现低失真和低功耗，在家庭影院中具有高声压和动态范围|
|Tonewinner 7 channels home theater system Dolby Atmos receiver amplifier manufacturer|AT-2700|AV 接收器集成放大器，支持杜比全景声、DTS:X、4K、杜比视觉、HDR 等，还支持 5.1.2 解码、蓝牙、HDMI 4 进 2 出、CEC 控制、OSD 菜单、RS232、手机 App 控制等|
|Tonewinner 9 channels integrated amp AV receiver home theatre amplifier|AT-2900|AV 接收器集成放大器，支持杜比全景声、DTS:X、杜比视觉、HDR、4K 及其向下兼容版本，支持 14 声道独立解码，3 个低音炮输出，可实现 7.3.6 或 9.3.4 扬声器布局，支持每个声道的独立音量控制，包括低音炮，还支持 HDMI 6 进 2 出、eARC、蓝牙、TF 卡、USB 磁盘、OSD 菜单、RS232、App 控制、自动声学测试室校准等|
|Tonewinner AT-2000 OEM audio power 11.2 ch atmos AV receiver amplifier|AT-2000|高端家庭影院和卡拉 OK 集成放大器，支持杜比全景声和 DTS:X，兼容所有以前的声音格式，支持 4K、3D、HDR、杜比视觉、ARC 音频播放、麦克风 APP 控制、USB 磁盘、蓝牙、TF 卡和多种无损和压缩音频格式，可设置为 7.2.4 系统，带来沉浸式卡拉 OK 体验|
|Tonewinner vendor Hi-Fi audio stereo DSD preamplifier|AD-1PRE+|高端解码器，支持 CD、SACD、MP3、WMA 音频格式和 USB-Audio、唱片机 MM/MC、光纤、同轴连接，采用多腔室布局、平衡电路、DSD 解码和多种高级芯片，提供高保真音效|
|Tonewinner 2 channels Class A Hi-Fi power audio stereo amplifier manufacturer|AD-1PA|Hi-Fi 立体声放大器，具有 A/AB 类模式、高功率变压器、晶体管和电容器，是一款旗舰放大器，可与 AD-1PRE+处理器完美连接|
|Tonewinner classical music mp3 usb tf card cd player|TY-1CD|Hi-Fi 旗舰 CD 播放器，设计精致，材料耐用，组件质量高，支持 CD、HDCD、SACD（CD 层）、MP3、WMA 等音频格式，以及模拟和数字输出，适合音响发烧友和音频爱好者|
|Tonewinner wholesale power Hi-Fi music amplifier|AD-3PRO+|Hi-Fi 放大器，具有高功率变压器和电容器，支持 A 类、AB 类和自动模式一键切换，支持 XLR、RCA、DSD 解码、MM/MC 唱片机和 USB Audio，满足音响发烧友和音频爱好者的需求，高音频采样率提供丰富和分析性的声音|
|ToneWinner wholesale 2 ch stereo Hi-Fi combined amplifier|AD-99D|特殊的 A 类 Hi-Fi 集成放大器，支持 128G USB 磁盘、TF 卡和无损音频格式，包括 WAV、FLAC、APE 等，还支持高音低音独立调节、低音炮输出和原始 App 控制|
|Tonewinner best Dolby Atmos 13 ch decoding AV receiver|AT-3000|AV 接收器集成音频功率放大器，支持杜比全景声、杜比 TrueHD、DTS:X 及其向下兼容版本，还支持 HDR 和 4K，支持 HDMI 6 进 2 出、eARC、蓝牙、TF 卡、USB 磁盘、OSD 菜单、RS232、App 控制、自动声学测试室校准等，支持 240W/8Ω 用于 L/R/C 声道，120W/8Ω 用于其他八个声道，是一款多功能集成放大器 AVR，适用于高端家庭娱乐|
