产品网址：https://en.wxtianyang.com/product/71.html
产品结构：root->Aluminumnitrideceramiccoppercladsubstrate_WuxiTianyangElectronicsCo.,Ltd|Finely-polishedCeramicTubeShells

|产品名称|产品型号|功能描述|
|--|--|--|
|Aluminum nitride ceramic copper clad substrate|无|无|

Unnamed: 0,Project,Performance parameter,Unit
Whiteboard,Maximum size,190×138,mm
Whiteboard,Thermal expansion coefficient,4.5,10  -6  /K
Whiteboard,Bending strength,400,MPa
Whiteboard,Thickness,0.38/0.635/1.0,mm
Circuit pattern,Conductor tolerance,±0.3,mm
Circuit pattern,Minimum conductor width,0.7,mm
Circuit pattern,Minimum conductor spacing,0.7,mm
Si3N4 ceramic copper clad substrate,Thermal Conductivity,180,W/m•K
Si3N4 ceramic copper clad substrate,Copper thickness,≤0.8,mm
Si3N4 ceramic copper clad substrate,Surface roughness,Ra≤0.8,um
Si3N4 ceramic copper clad substrate,Warpage,≤0.05,mm/25mm
Si3N4 ceramic copper clad substrate,Dielectric constant（1MHz）,8.5,
Si3N4 ceramic copper clad substrate,Dielectric loss（1MHz）,9,10-4
Si3N4 ceramic copper clad substrate,Welding rate,＞95,%
Si3N4 ceramic copper clad substrate,Peel strength,≥150,N/cm
Si3N4 ceramic copper clad substrate,Breakdown (insulation) strength,＞20,kV/mm
Si3N4 ceramic copper clad substrate,Insulation resistance,＞1014,Ω·cm
Si3N4 ceramic copper clad substrate,Insulation resistance,≥4.9,N
Si3N4 ceramic copper clad substrate,Moisture resistance,"Under the conditions of 500 hours, 85°C and 85%RH, there is no change in electrical properties",
Si3N4 ceramic copper clad substrate,High and low temperature impact,"150℃/-45℃, heat preservation for high and low temperature for each cycle for 0.5 h, and the conversion time is 15 s. After 500 cycles, there is no deterioration of insulation characteristics",
