产品网址：https://autochips.com/products.html?pro=tpms&rid=7
产品结构：root->产品服务_杰发科技-汽车电子芯片专业设计公司

|产品名称|产品型号|功能描述|
|--|--|--|
|汽车应用处理器|AC8025|无|
|汽车应用处理器|AC8015|无|
|汽车应用处理器|AC8257|无|
|车联网模组|AC8257|无|
|汽车应用处理器|AC8225|无|
|汽车应用处理器|AC8227L|无|
|车规级微控制器|AC7840x|无|
|车规级微控制器|AC7802x|无|
|车规级微控制器|AC7801x|无|
|车规级微控制器|AC781x|无|
|音频功率放大器|AC7325|无|
|胎压监测专用传感器芯片|AC5121|车规级全集成轮胎压力监测专用传感器芯片，拥有自主设计知识产权，专用于乘用车和商用车汽车轮胎压力检测，符合中国国内胎压标准《GB 26149-2017》，并通过 AEC-Q100 Grade1 认证。全集成：首款全集成气压传感器、双轴加速度传感器、温度传感器、LF&RF 于一体高性能胎压监测专用传感器芯片。强算力：增强型 MCU，运算速度比标准 8051 快 5.2 倍；传感器采样时间短，计算时间短。低功耗：休眠功耗低至 150nA@Powerdown；在发射功率 5dBm 条件下芯片整体功耗低于 6mA，并且发射功率有 5dBm 和 8dBm 可选。大空间：行业内用户程序空间最大的 16k FLASH；内置 512 Bytes RAM。高精度：气压精度±5kPa@-40~90℃；温度精度±3℃@-40~125℃；加速度精度±3g@±20g。高可靠：国际顶尖 MEMS 晶圆厂代工，品质稳定，可靠性高；符合 AEC-Q100 Grade1 车规认证。|
