产品网址：https://holly-wave.com/products/measurement-system/pacm
产品结构：首页->产品与服务->测量系统->相控阵校准测量

|产品名称|产品型号|功能描述|
|--|--|--|
|相控阵校准测量|无|为各类相控阵测量提供完整解决方案，包括近场测量（平面/柱面/球面）、远场测量、紧缩场测量，测试精度高，测试效率快|
|平面近场测量系统|无|可对待测产品近场空间幅相数据采样，近远场变换推算远场方向图数据|
|多探头平面近场测量系统|无|可对待测产品近场空间幅相数据采样，近远场变换推算远场方向图数据|
|柱面近场测量系统|无|可对待测产品近场空间幅相数据采样，近远场变换推算远场方向图数据|
|球面近场测量系统|无|可对待测产品近场空间幅相数据采样，近远场变换推算远场方向图数据|
|多探头球面近场测量系统|无|可对待测产品近场空间幅相数据采样，近远场变换推算远场方向图数据|
|室内远场测量系统|无|可对天线部件及整机的辐射性能进行测量|
|室外远场测量系统|无|可对天线部件及整机的辐射性能进行测量|
|紧缩场测量系统|无|可对微波与毫米波天线进行测量|
|一体化紧缩场测量系统|无|可对微波与毫米波天线进行测量|
