产品网址：https://holly-wave.com/products/measurement-system/msc/ap/ra
产品结构：首页->测量系统->相关产品->天线产品->反射面

|产品名称|产品型号|功能描述|
|--|--|--|
|反射面|无|反射面与馈源是形成紧缩场静区的核心部件，将位于焦点位置处的馈源发射出的球面波转化为平面波，为天线测试提供平面波环境。卷边反射面可降低反射面边缘的不连续性，使绕射场远离目标区域，相比矩齿反射面具有更高的口径利用率。|

参数,60cm反射面,90cm反射面
频率范围,8~110GHz,6~110GHz
反射面尺寸,约60cm（长）×60cm（宽）,约90cm（长）×90cm（宽）
静区尺寸,≥ 30cm（直径）×30cm（高），圆柱体,≥ 45cm（直径）×45cm（高），圆柱体
口径利用率,≥ 50%,≥ 50%
幅度平坦度,2.2dB,2.2dB
幅度锥销,1dB,1dB
幅度波纹,±0.5dB,±0.5dB
相位平坦度,≤ 10°（8~26GHz），,≤ 10°（6~26GHz），
相位平坦度,≤0.25×频率（26~110GHz，单位“度”）,≤0.25×频率（26~110GHz，单位“度”）
相位锥削,10°,10°
相位波纹,±5°,±5°
交叉极化,≤ -27dB/-30dB（轴向）,≤ -30/27dB（轴向）
