产品网址：https://www.len-technology.com/products/dc-dc/dc-dc-details/ln10x61
产品结构：root->LN10X61Q1-开关稳压器

|产品名称|产品型号|功能描述|
|--|--|--|
|开关稳压器|LN10X61Q1|车规级，60V，1.5A，同步降压转换器|

正常工作电压Min (V),3.5
正常工作电压Max (V),60
输出电压范围(V),3.3V、5V和1～Vin可调
输出电流 (A),Up to 1.5
同步整流（集成上管和下管）,是
工作静态电流 (uA),12
关断静态电流 (uA),1.2
轻载模式,PFM
开关频率 (KHz),200 to 2500
其它功能,Enable pin；  Power Good Indicator；  Internal Compensation；  Internal Soft Start;  Synchronization to external clock：
完整保护,Accurate Peak and Valley Current Clamp；  Output short-circuit protection with hiccup mode；  Accurate Vin UVLO protection；  Over-temperature shuntdown and recovery；
封装,SOIC-8EP
产品等级,AEC-Q100 Grade1
工作结温,-40 to 150
功能安全类别,Functional Safety Capable
