产品网址：http://www.lanor-china.com/product/28_75
产品结构：首页->产品中心->臭氧系列->氧气源臭氧发生器-

|产品名称|产品型号|功能描述|
|----|----|----|
|氧气源臭氧发生器|无|内置制氧机、臭氧发生器、高压电源、冷凝器、过滤器、控制系统等；机身采用不锈钢材质，耐腐蚀、抗氧化；采用脱羟基石英介质，散热效果好、不易结垢且可定期拆卸清洗或更换。对水中细菌、病毒等微生物杀灭率高、速度快、去除有机化合物等污染物彻底且不产生二次污染，并能降低生化需氧量（BOD）和化学需氧量（COD），除亚硝酸盐、悬浮固体及脱色臭氧作为氧化剂、催化剂和精制剂应用于污水处理、中水回用、纯净水处理、食品加工、医药生产、化工氧化、医疗卫生、水厂、医院、游泳池、饮料食品、贮水池、水箱、畜牧水产养殖、冷库、景观用水等领域的水质消毒、废气处理、臭氧氧化、空气灭菌等领域|

产品型号,MSZ-Y-10G,MSZ-Y-20G
产品尺寸（cm）,55*40*90,55*40*90
臭氧含量（g/h）,10,20
臭氧浓度（mg/L）,60-80,70-90
臭氧电耗（KW）,400,600
输入电源,AC220V/50HZ,AC220V/50HZ
冷却方式,风冷/水冷,风冷/水冷
使用气源,设备自带制氧机，氧气纯度93%以上,设备自带制氧机，氧气纯度93%以上


产品型号,MSZ-Y-30G,MSZ-Y-50G
产品尺寸（cm）,55*40*90,55*40*100
臭氧含量（g/h）,30,50
臭氧浓度（mg/L）,70-90,80-100
臭氧电耗（W）,700,1100
输入电源,AC220V/50HZ,AC220V/50HZ
冷却方式,风冷/水冷,风冷/水冷
使用电源,设备自带制氧机，氧气纯度93%以上,设备自带制氧机，氧气纯度93%以上


产品型号,MSZ-Y-100G
产品尺寸（cm）,60*45*125
臭氧含量（g/h）,100
臭氧浓度（mg/L）,90-120
臭氧电耗（W）,2500
输入电源,AC220V/50HZ
冷却方式,水冷
使用气源,设备自带制氧机，氧气纯度93%以上
