产品网址：http://www.lanor-china.com/product/28_79
产品结构：首页->产品中心->臭氧系列->外置气源臭氧发生器-

|产品名称|产品型号|功能描述|
|--|--|--|
|外置气源臭氧发生器|无|使用一定频率的高压电流制造高压电晕电场，使电场内或电场周围的氧分子发生电化学反应，从而制造臭氧。具有技术成熟、工作稳定、使用寿命长、臭氧产量大等优点|

产品型号,产品型号.1,臭氧含量（g/h）,额定功率（kw）,冷却水流量（m3/h）,参考尺寸（cm）,使用电源
空气源,MSZ-HY-018-150A,150,1.5,0.3-0.8,98*46*128,220V/50HZ
空气源,MSZ-HY-018-200A,200,1.8,0.3-0.8,98*46*128,220V/50HZ
空气源,MSZ-HY-019-300A,300,2.5,0.8-1,100*55*163,220V/50HZ
空气源,MSZ-HY-020-400A,400,3.5,1-1.5,108*55*168,220V/50HZ
空气源,MSZ-HY-021-500A,500,4.5,1.5-2.0,120*65*168,220V/50HZ
空气源,MSZ-HY-022-600A,600,5.5,2.0-3.5,120*65*168,220V/50HZ
空气源,MSZ-HY-024-800A,800,7.5,3.5-4.0,160*75*190,380V/50HZ（三相四线）
空气源,MSZ-HY-025-1000A,1000,9.5,4.0-5.0,160*75*190,380V/50HZ（三相四线）
空气源,MSZ-HY-026-2000A,2000,20.5,6.0-7.5,160*75*190,380V/50HZ（三相四线）


产品型号,产品型号.1,臭氧含量（g/h）,额定功率（kw）,冷却水流量（m3/h）,参考尺寸（cm）,使用电源
氧气源,MSZ-YT-018-150A,150,1.65,0.8-1,98*46*128,220V/50HZ
氧气源,MSZ-YT-018-200A,200,2.09,0.8-1,98*46*128,220V/50HZ
氧气源,MSZ-YT-019-300A,300,2.31,0.8-1,100*55*163,220V/50HZ
氧气源,MSZ-YT-020-400A,400,4.0,1-1.5,108*55*168,220V/50HZ
氧气源,MSZ-YT-021-500A,500,5.0,1.5-2.0,120*65*168,220V/50HZ
氧气源,MSZ-YT-022-600A,600,6.0,2.0-3.5,120*65*168,220V/50HZ
氧气源,MSZ-YT-024-800A,800,8.0,3.5-4.0,160*75*190,380V/50HZ（三相四线）
氧气源,MSZ-YT-025-1000A,1000,10.0,4.0-5.0,160*75*190,380V/50HZ（三相四线）
氧气源,MSZ-YT-026-2000A,2000,21.5,6.0-7.5,160*75*190,380V/50HZ（三相四线）
