产品网址：https://lthpc.com/products/detail/49
产品结构：root->S223Q-HTTRG2

|产品名称|产品型号|功能描述|
|----|----|----|
|服务器|S223Q-HTTR G2|基于 Intel C621A 系列芯片组的高性价比 CPU 服务器产品，2U 空间里支持多达 4 个独立的双路计算节点，每个节点采用最新的英特尔第三代® Xeon® Scalable 系列处理器，支持最高达 185W 的 CPU TDP；每个节点高达 16 槽位的内存扩展和 2 个 PCI-E 4.0（半高）扩展插槽提供了强大的性能和扩展能力，可适用于计算密集型应用、HPC/数据中心、企业服务器、财务分析、关键任务应用等多种合，是一款可满足客户全方位需求的高密度 CPU 服务器产品|

处理器和芯片组,支持的处理器数量,2（每个节点）
处理器和芯片组,处理器插座,Socket P LGA-4189
处理器和芯片组,处理器类型,至强
处理器和芯片组,支持的处理器,银色43XX
处理器和芯片组,,黄金53XX
处理器和芯片组,,黄金63XX
处理器和芯片组,,铂金83XX
处理器和芯片组,热设计功率 (TDP),185W
处理器和芯片组,芯片组制造商,英特尔
处理器和芯片组,芯片组型号,C621A
内存,最大内存,4TB（每个节点）
内存,内存技术,DDR4 NVDIMM
内存,内存标准,DDR4-3200/2933/2666MHz ECC DDR4 RDIMM
内存,总内存槽数,16（每个节点）
硬盘,SATA3,SATA3 (6Gbps)
硬盘,,"RAID 0, 1, 5"
硬盘,NVMe,
硬盘,M.2,2个NVME M.2 (2280)（每个节点）
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2600 BMC
I/O扩展,PCI Express,PCI-E 4.0 x16 插槽（LP）（每个节点）
I/O扩展,,PCI-E 4.0 x16 插槽（LP）（每个节点）
驱动器托架,热插拔,3个 3.5 英寸热插拔驱动器托架（每个节点）
接口/端口,USB 3.0 端口总数,2（每个节点）
接口/端口,SATA接口数量,3（每个节点）
接口/端口,局域网,1 个 RJ45 管理端口（每个节点）
接口/端口,,2个RJ45万兆端口（每个节点）
接口/端口,板载视频,1 个 VGA 接口（每个节点）
电源说明,电源数量,2
电源说明,冗余电源,是
电源说明,最大电源功率,2200W
电源说明,认证,80Plus 钛金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,2U
物理特性,高度,3.47''
物理特性,宽度,17.25''
物理特性,深度,30.5''
