产品网址：https://hawdar.com/index.php?id=81
产品结构：首页->产品中心->线路放大器->C波段双通道

|产品名称|产品型号|功能描述|
|----|----|----|
|C 波段双通道线路放大器|LA-C30CN|增益可控调节，工作状态异常告警，掉电参数存储、上电恢复，智能监控，支持本地和远程监控|

参数,内容
工作频段,3.4GHz  ～  4.2GHz  （其他频率可定制）
增益,30dB  （可选其它数值）
增益平坦度,≤1.5dB  （  1000MHz  带宽）
增益平坦度,≤1.0dB  （  500MHz  带宽）
增益平坦度,≤0.4dB  （每  10MHz  ）
增益稳定度,≤1.0dB/  （  0  ℃  ～  +50  ℃  ）
增益稳定度,≤0.3dB/24  小时（恒温恒激励）
衰减范围,0-30dB  ，步进  0.5 dB
输出功率（  P1dB  ）,≥+10 dBm
三阶交调,-25 dBc  （  P1dB-3dB  ）
输入驻波比,1.25
输出驻波比,1.25
接口,输入：  N-K  （可选同轴  SMA-K  ）
接口,输出：  N-K  （可选同轴  SMA-K  ）
接口,监控：串口  DB9P  ，网口  RJ45
接口,电源：  IEC320
电源,AC220V  ，  50Hz
功耗,40W
工作温度,0  ℃  ～  +50  ℃
尺寸,19  英寸机箱，高度  1U
重量,约  5Kg
