产品网址：https://hawdar.com/index.php?id=64
产品结构：首页->产品中心->变频器->L/C/Ku/Ka频段下变频器->Ku波段下变频器-

|产品名称|产品型号|功能描述|
|----|----|----|
|Ku 波段下变频器|DC-Ku70140D|该款产品性能优越，广泛应用于卫星通信、雷达、导航、测控、卫星广播电视等领域。特点：通用化、平台化结构；增益可控调节；数字频合器本振源；内/外时钟（可自动切换）；智能监控，支持本地和远地监控。可选功能：1:N 冗余备份功能；多通道输入输出|

参数,内容,备注
（输入）中频频率,10.95-12.75GHz,
（输出）射频频率,70MHz  、  140MHz  或  L  频段,
频率步进,1KHz,
增益,≥30dB,
增益平坦度,±1.0dB/  （  ±36MHz  ）,
增益稳定度,±0.25dB/  天（恒温）,
增益稳定度,±1.5dB/  （  0℃  ～  +50℃  ）,
衰减控制,0-30dB  ，步进  0.5 dB,
三阶交调,-40 dBc,P1dB-10 dB  ，  △f=5MHz
镜像抑制,≥80dBc,仅下变频器
本振泄露,≤-70 dBm,在射频端口测
杂散输出,≤-60 dBc,与载波相关的杂散
杂散输出,≤-60 dBm,与相关杂散
参考时钟,可外接时钟  10MHz(0±3 dBm),优先选择
参考时钟,内外参考时钟可自动切换,
相位噪声,Ku  、  Ka  频段,
相位噪声,-75dBc/Hz @100Hz,
相位噪声,-80dBc/Hz @1KHz,
相位噪声,-85dBc/Hz @10KHz,
相位噪声,-95dBc/Hz @100KHz,
驻波比,1.4,
接口,射频接口：  SMA-50K,可选  N-50K  、  2.92mm
接口,中频接口：  SMA-50K,可选  N-50K  、  2.92mm
接口,射频监测：  SMA-50K,可选  N-50K  、  2.92mm
接口,中频监测：  SMA-50K,
接口,外参考接口：  BNC-50K,
接口,控制接口：串口  DB9  （针）  串口  RJ45,
接口,电源接口：  IEC-320,
工作温度,0℃  ～  +50℃,
外形尺寸,19  英寸机箱，高度  1U,
重量,约  6Kg,
电源,AC220V  ，  50Hz,
功耗,40W,典型值
