产品网址：https://hawdar.com/index.php?id=54
产品结构：首页->产品中心->LNBs->Ka频段LNB->Surp@ssKaS系列Ka波段LNB单本振-

|产品名称|产品型号|功能描述|
|--|--|--|
|Surp@ss KaS 系列 Ka 波段 LNB 单本振|LNB-Ka130SA|与公司 LNB 电源监控及本振单元配备使用，可提供 LNB 所需电源参考。特点：极低噪声温度、扩展频率定制、功耗低，性价比高、内外参考自适应切换。可选功能：1:1 或 1:2 冗余备份功能、超低损耗波导隔离器、LNB 电源监控及本振单元|

性能,参数
噪声温度,130K
增益,60dB  （其他增益可定制）
增益平坦度,≤  4dBp-p
输出饱和电平,≥10dBm
输入  /  输出驻波比,2.5/2.0
频率稳定度,内参考时：±  1ppm  ，外参考输入时自动锁定外部参考源
相位噪声,≤  -60dBc/Hz  @100Hz
相位噪声,≤  -70dBc/Hz  @1KHz
相位噪声,≤  -80dBc/Hz  @10KHz
相位噪声,≤  -90dBc/Hz  @100KHz
工作电压,+15VDC  （  DC 12V  ～  24V  ）
接口,输入：波导  BJ-220  对应法兰  FBM220  （  WR42-G  ）
接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，  0  ±  3dBm
外形尺寸  /  重量,117mm×60mm×31mm  ，≤  400g
工作温度,-40  ℃～  +60  ℃
存储温度,-40  ℃～  +80  ℃
