产品网址：https://hawdar.com/index.php?id=171
产品结构：首页->产品中心->BDCs->AESA上下变频器->Ka波段平板阵列天线上/下变频器-

|产品名称|产品型号|功能描述|
|----|----|----|
|Ka 波段平板阵列天线上/下变频器|BUDC-KaKCLH|Ka 全波段覆盖，四本振切换，15mm 超薄设计，上/下变频合一，内/外参考自适应，可选上/下变频、频率和增益定制、内/外参考功能|

项目,参数,参数.1,参数.2,参数.3,参数.4,参数.5
项目,上变频,上变频,上变频,下变频,下变频,下变频
工作频率（  GHz  ）,射频,中频,本振,射频,中频,本振
工作频率（  GHz  ）,27.5-28.35,0.95-1.80,26.55,17.7-18.2,0.95-1.45,16.75
工作频率（  GHz  ）,28.35-29.2,0.95-1.80,27.40,18.2-19.2,0.95-1.95,17.25
工作频率（  GHz  ）,29.0-30.0,0.95-1.95,28.05,19.2-20.2,0.95-1.95,18.25
工作频率（  GHz  ）,30.0-31.0,0.95-1.95,29.05,20.2-21.2,0.95-1.95,19.25
噪声系数,——,——,——,≤12dB,≤12dB,≤12dB
镜像抑制,——,——,——,≤-40dBc,≤-40dBc,≤-40dBc
P1dB  输出功率,≥16dBm,≥16dBm,≥16dBm,≥0dBm,≥0dBm,≥0dBm
增益（衰减  0dB  时）,30dB,30dB,30dB,30dB,30dB,30dB
增益调节范围  &  步进,30dB  范围可调，步进  0.5dB,30dB  范围可调，步进  0.5dB,30dB  范围可调，步进  0.5dB,30dB  范围可调，步进  0.5dB,30dB  范围可调，步进  0.5dB,30dB  范围可调，步进  0.5dB
幅频特性,≤±2.0dBp-p/1000MHz,≤±2.0dBp-p/1000MHz,≤±2.0dBp-p/1000MHz,≤±2.0dBp-p/1000MHz,≤±2.0dBp-p/1000MHz,≤±2.0dBp-p/1000MHz
增益随温度变化,≤3dB  （工作温度范围内）,≤3dB  （工作温度范围内）,≤3dB  （工作温度范围内）,≤3dB  （工作温度范围内）,≤3dB  （工作温度范围内）,≤3dB  （工作温度范围内）
相位噪声,≤-70dBc/Hz @1KHz  ≤-80dBc/Hz @10KHz  ≤-90dBc/Hz @100KHz,≤-70dBc/Hz @1KHz  ≤-80dBc/Hz @10KHz  ≤-90dBc/Hz @100KHz,≤-70dBc/Hz @1KHz  ≤-80dBc/Hz @10KHz  ≤-90dBc/Hz @100KHz,≤-70dBc/Hz @1KHz  ≤-80dBc/Hz @10KHz  ≤-90dBc/Hz @100KHz,≤-70dBc/Hz @1KHz  ≤-80dBc/Hz @10KHz  ≤-90dBc/Hz @100KHz,≤-70dBc/Hz @1KHz  ≤-80dBc/Hz @10KHz  ≤-90dBc/Hz @100KHz
杂散发射,带内  ≤-50dBc,带内  ≤-50dBc,带内  ≤-50dBc,带内  ≤-50dBc,带内  ≤-50dBc,带内  ≤-50dBc
三阶交调,≤-25dBc@P1dB  回退  3dB,≤-25dBc@P1dB  回退  3dB,≤-25dBc@P1dB  回退  3dB,≤-25dBc@P1dB  回退  3dB,≤-25dBc@P1dB  回退  3dB,≤-25dBc@P1dB  回退  3dB
外参考源要求,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm
工作电压  /  电流,+12VDC  （  DC11-13V  ），电流  ≤1.2A,+12VDC  （  DC11-13V  ），电流  ≤1.2A,+12VDC  （  DC11-13V  ），电流  ≤1.2A,+12VDC  （  DC11-13V  ），电流  ≤1.2A,+12VDC  （  DC11-13V  ），电流  ≤1.2A,+12VDC  （  DC11-13V  ），电流  ≤1.2A
输入  /  输出驻波比,射频输出端  2.5:1,射频输出端  2.5:1,射频输出端  2.5:1,射频输入端  2.5:1,射频输入端  2.5:1,射频输入端  2.5:1
输入  /  输出驻波比,中频输入端  1.5:1,中频输入端  1.5:1,中频输入端  1.5:1,中频输出端  1.5:1,中频输出端  1.5:1,中频输出端  1.5:1
接口,射频接口：  2.92-50K,射频接口：  2.92-50K,射频接口：  2.92-50K,射频接口：  2.92-50K,射频接口：  2.92-50K,射频接口：  2.92-50K
接口,中频接口：  SMA-50K,中频接口：  SMA-50K,中频接口：  SMA-50K,中频接口：  SMA-50K,中频接口：  SMA-50K,中频接口：  SMA-50K
接口,供电  &  控制接口：微矩形连接器，串口,供电  &  控制接口：微矩形连接器，串口,供电  &  控制接口：微矩形连接器，串口,供电  &  控制接口：微矩形连接器，串口,供电  &  控制接口：微矩形连接器，串口,供电  &  控制接口：微矩形连接器，串口
外形尺寸,153mm×120mm×15mm  ，重量约  700g,153mm×120mm×15mm  ，重量约  700g,153mm×120mm×15mm  ，重量约  700g,153mm×120mm×15mm  ，重量约  700g,153mm×120mm×15mm  ，重量约  700g,153mm×120mm×15mm  ，重量约  700g
工作温度,-40  ℃  ~+60  ℃,-40  ℃  ~+60  ℃,-40  ℃  ~+60  ℃,-40  ℃  ~+60  ℃,-40  ℃  ~+60  ℃,-40  ℃  ~+60  ℃
工作湿度,0~85%,0~85%,0~85%,0~85%,0~85%,0~85%
